Incarnation Name,Incarnation BDRC ID,Incarnation TOL ID,Parent lineage TOL ID,Preceding incarnation member TOL ID,Incarnation Sequence,Ordinal,Person BDRC ID,Person TOL ID,Branched Lineage,New Seat Established,Notes,,,,
Chakri Nyidrak,R8LS13249,7,,,7,7,P00KG09971,289,FALSE,,,,,,
Chaktsa,R8LS13162,8,,,1,1,P5987,2118,FALSE,,,,,,
Chaktsa,R8LS13162,8,,,2,2,P7986,10673,FALSE,,,,,,
Chaktsa,R8LS13162,8,,,3,3,P7990,10678,FALSE,,,,,,
Chaktsa,R8LS13162,8,,,4,4,P6042,8618,FALSE,,,,,,
Chaktsa,R8LS13162,8,,,5,5,P7989,10676,FALSE,,,,,,
Changkya,R8LS13058,9,,,1,1,P1181,13501,FALSE,,,,,,
Changkya,R8LS13058,9,,,2,2,P209,2441,FALSE,,,,,,
Changkya,R8LS13058,9,,,3,3,P182,3141,FALSE,,,,,,
Changkya,R8LS13058,9,,,4,4,P3610,5967,FALSE,,,,,,
Changkya,R8LS13058,9,,,5,5,P8LS12696,13483,FALSE,,,,,,
Changkya,R8LS13058,9,,,6,6,P8LS12697,13484,FALSE,,,,,,
Changkya,R8LS13058,9,,,7,7,P7615,10287,FALSE,,,,,,
Changkya,R8LS13058,9,,,8,8,P8LS12698,13501,FALSE,,,,,,
Chesho,R8LS13109,10,,,1,1,P1981,3320,FALSE,,,,,,
Chesho,R8LS13109,10,,,2,2,P283,4568,FALSE,,,,,,
Chesho,R8LS13109,10,,,3,3,P238,4077,FALSE,,,,,,
Chesho,R8LS13109,10,,,4,4,P6577,9176,FALSE,,,,,,
Chonyi Gyatso,,11,,,1,1,P6054,8631,FALSE,,,,,,
Chonyi Gyatso,,11,,,2,2,P5982,8551,FALSE,,,,,,
Chonyi Gyatso,,11,,,3,3,P6053,8630,FALSE,,,,,,
Chonyi Gyatso,,11,,,4,4,P5996,8566,FALSE,,,,,,
Chonyi Gyatso,,11,,,5,5,P6052,8629,FALSE,,,,,,
Chonyi Gyatso,,11,,,6,6,P6051,8628,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,14,14,P1649,13576,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,1,1,P80,10687,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,2,2,P84,11114,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,3,3,P999,12828,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,4,4,P177,3085,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,5,5,P37,6065,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,6,6,P352,5871,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,7,7,P179,3107,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,8,8,P109,2339,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,9,9,P274,4469,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,10,10,P260,4314,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,11,11,P255,4259,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,12,12,P244,4141,FALSE,,,,,,
Dalai Lama,R8LS12876,12,,,13,13,P197,3307,FALSE,,,,,,
Detri,R8LS13072,13,,,1,1,P1177,2436,FALSE,,,,,,
Detri,R8LS13072,13,,,2,2,P4098,6502,FALSE,,,,,,
Detri,R8LS13072,13,,,3,3,P382,6198,FALSE,,,,,,
