community_id,community_name,wylie_name,tibetan,chinese_name,en_variants,bo_x_ewts_variants,zh_hani_variants,sa_deva_variants,ru_cyrl_variants,mn_cyrl_variants,mn_mong_variants
187,Lharitse,lha ri rtse,,,,,,,,,
189,Lekdrub Dratsang,legs grub grwa tshang,,,,,,,,,
190,Gyume Dratsang,rgyud smad grwa tshang,,,Gyume College; Gyurme; Pelden Gyume Dratsang; Lower Tantric College; xia miyuan,,下密院,,,,
191,Riwo Gepel,ri bo dge 'phel,,,,,,,,,
192,Gangchen Chopel,gangs can chos 'phel,,,Kangchen Chopel,,,,,,
193,Samdrub Ling,bsam 'grub gling,,,,bsam grub ling,,,,,
195,Tangpoche,thang po che,,,Thangpoche; Solnak Thang; Solnak Tangpoche; tangboqi si,sol nag thang po che,唐波齐寺,,,,
197,Zhangzhung Dorjeden,zhang zhung rdo rje gdan,,雄雄寺,Zhang Zhang Dorjeden; Zhangzhong Gon; xiongxiong si; xiangxiong jingangzuo,,雄雄寺; 香雄金刚座,,,,
198,Chekar Chode,chad dkar chos sde,,,Chagar Monastery;,chad dkar chos sde; 'chad dkar bkra shis rab brtan dgon; rong cha dkar chos sde; 'chad dkar chos sde,恰嘎曲德寺,,,,
199,Langtang,glang thang,,朗塘寺,langtang si,,,,,,
204,Darnga Hermitage,dar rnga ri khrod,,,,,,,,,
205,Rashuk,ra shug,,,,ra shug ri khrod,,,,,
206,Dzamtang,dzam thang,,中壤塘,Dzamtang chode chenpo; Great Dzamtang Lamasery,,,,,,
207,Lhundrubteng,lhun 'grub steng,,,Derge Gonchen; Lhundrupteng,dgon chen; lhun grub steng,,,,,
208,Tsechu Monastery,tshes bcu,,,zebuji si,dpal 'dzam thang tshe bcu pho brang bsam 'grub nor bu'i gling,泽布基寺,,,,
209,Choje Monastery,chos rje,,求吉寺,Pelden Shedrub Norbu Chopel Ling; Ali Choje; qiuji si,chos rje dgon dpal ldan bshad sgrub nor bu chos 'phel gling; a li chos rje dgon,求吉寺,,,,
210,Tsangwa Monastery,gtsang ba,,,Dzamthang Tsangwa,gtsang pa; shar 'dzam thang bsam 'grub nor bu'i gling; 'dzam thang gtsang ba dgon bsam 'grub nor bu'i gling,藏哇寺; 中壤塘寺,,,,
212,Old Ditsa,d+hi tsha,,老支扎寺,,d+hi tsha dgon rnying,,,,,
214,Ba Monastery,ba' dgon,,巴干寺,naincuo bagan si,,,,,,
215,Karma Gon,karma dgon,,嘎玛寺,Okmin Karma Gon; Karma Densa; gama si,og min karma dgon; lho karma dgon; 'og min karma dgon; chab mdo karma dgon; 'og min thub bstan chos 'khor gling,嘎玛寺,,,,
216,Gyel Lhakhang,rgyal lha khang,,杰拉康,Gyal Lhakang; jiedui si; jie lakang,,杰堆寺; 杰拉康,,,,
217,Dakpo Draka,dwags po drag kha,,,,,,,,,
218,Riwoche Monastery,ri bo che dgon,,类乌齐寺,,ri wo che gtsug lha khang khra 'jigs ma; khams ri bo che,,,,,
219,Riwoche Yanggon,ri bo che yang dgon,,,Yangon,,,,,,
224,Poto,po to,,,boduo si,,波多寺,,,,
226,Puchung,phu chung,,,,,,,,,
227,Gyachak Ri,rgya lcags ri,,,Penyul Gyachak Ri,,,,,,
228,Sewalung,se ba lung,,色瓦龙寺,sewalong si,se ra lung dgon,,,,,
229,Zur Ukpalung,zur 'ug pa lung,,,Zur Sangkaling; Ugpalung; Ukpa Lung; Upelung; Upalung,,,,,,
231,Dechen Teng,bde chen steng,,,Dechenteng,,,,,,
232,Hemis,he mi dgon,,,Hemis Jangchub Choling,he mi byang chub chos gling; he mi grwa tshang,,,,,
233,Hanle,waM le,,,,,,,,,
234,Chemrey,,,,Chemre; Chemdey; Chemdey,,,,,,
235,Chukyer Gonsar,chu mkhyer dgon gsar,,,Chukyer,,,,,,
236,Tsunmo Tsel,btsun mo tshal,,,Tsunmotsal; zunmucai si,,尊木采寺,,,,
237,Chamdo Jampa Ling,chab mdo byams pa gling,,强巴林寺,Chamdo Monastery; Chamdo Jampaling; Jampaling; Kelden Jampa Ling; Chokhor Kelden Jampa Ling,,,,,,
241,Patsang Gon Yungdrung Rabten Ling,spa tshang dgon g.yung drung rab brtan gling,,,bacang si,,巴仓寺,,,,
242,Lupuk Gonpa,klu phug dgon pa,,,luopo si; lupu si; luba si,g.yung drung bde chen gling; gshen bstan g.yung drung bde chen gling,罗坡寺; 鲁普寺; 鲁巴寺,,,,
243,Lungkar,lung dkar dgon,,,longge si,dga' ldan chos 'phel gling; lung dkar dgon bsam grub bde ldan gling,龙格寺; 隆格寺,,,,
244,Menri,sman ri,,,Menri Gon; meiri si,thob rgyal sman ri dgon; bkra shis sman ri,梅日寺; 门日寺,,,,
245,Yeru Wensakha,g.yas ru dben sa kha,,,Yeru Ensakha,,叶如恩萨喀寺,,,,
246,Joden Gendungang,jo gdan dge 'dun sgang,,觉丹寺,Joden; juedan si,,,,,,
247,Pelme Tekchen Evam Gatsel Ling,dpal me theg chen e vaM dga' tshal gling,,,bami si,dpal me dgon; theg chen e waM dga' tshal gling,巴米寺,,,,
248,Nangchen Gar,nang chen gar,,,gari si,mgar dgon; nyang chen byang chub chos gling; mgar nyang chen byang chub chos gling,嘎日寺,,,,
249,Lingga Dewachen,gling dga' bde ba can,,,,mus gling dga' bde ba can,,,,,
250,Musu Yama Monastery,mus su ya ma dgon,,,,,,,,,
251,Dingma Monastery,lding ma dgon,,,,,,,,,
253,Pelri Tekchen Ling,dpal ri theg chen gling,,白日寺,Chonggye Pelri Tekchok Ling; Pelri Osel Tekchen Ling; Pelri Monastery,dpal ri 'od gsal theg chen gling; dpal ri dgon,,,,,
254,Tseringjong,tshe ring ljongs,,,Tsering jong; cirenjiong si; dongga nigu si,pad+ma 'od gsal theg mchog gling,次仁炯寺; 东嘎尼姑庙,,,,
255,Driru Gon,bri ru dgon,,,Namgyel Pelbar; biru si;,rnam rgyal dpal 'bar gling; rnam rgyal dpal 'bar,比如寺,,,,
256,Den Chokhor,ldan chos 'khor,,,,,,,,,
259,Sinmo Dzong,srin mo rdzong,,,Kham Sinmo Dzong,khams srin mo rdzong,,,,,
263,Khyungpak Tsang,khyung 'phags tshangs,,,,,,,,,
265,Zhertsa Chode,zher rtsa chos sde,,,,,,,,,
266,Dargye Monastery,dar rgyas dgon,,,Kandze Dargye; Tashi Dargye; Tewo Tashi Dargye,dkar mdzes dar rgyas dgon; bkra shis dar rgyas dgon; tre bo bkra shis dar rgyas dgon,,,,,
267,Potima,po ti ma,,,,,,,,,
269,Tanak Serling,rta nag gser gling,,,Serling Gonpa,gser gling dgon pa,,,,,
270,Tanak Tubten Namgyel,rta nag thub bstan rnam rgyal,,达那土旦寺,Thubten Namgyal; Tubtan; Tupten Namgyel,,达那土旦寺; 吐丹朗杰寺,,,,
271,Japuk Dongak Dargye Ling,bya phug mdo sngags dar rgyas gling,,,Dongak Dargye Ling; Do-ngak Dargye Ling; Japuk Dongak Dargyeling,bu phug mdo sngags dar rgyas gling,,,,,
272,Sakya Drakshar,sa skya brag shar,,,,,,,,,
273,Shey,shel dkar pho brang,,,,la dwags shel mkhar pho brang; la dwags shel thub chen dgon,,,,,
274,Azha Yarpung,a zha yar spungs dgon,,雅黄寺,,,,,,,
275,Dreyul Kyetsel,bras yul skyed tshal,,,Dreyul Kyemotsel,,,,,,
276,Nyenyo Jagoshong,mnyan yod bya rgod gshongs,,,Nyanyo Chagoshong; nianyu si,bya rgod gshongs dgon pa,年玉寺,,,,
277,Chokhor Lhunpo,chos 'khor lhun po,,,,,,,,,
278,Tashi Pende,bkra shis phan bde,,,,,,,,,
279,Demola Monastery,bde mo la dgon,,,,,,,,,
280,Chakra,lcags ra,,,Derge Chakra Gon; Chakra Monastery; Changra,sde dge lcags ra dgon; lcangs ra,,,,,
282,Pewar,dpe war,,,baiya si,dpe war dgon; sde dge dpe war dgon,白雅寺; 白垭寺,,,,
285,Tashi Cholung,bkra shis chos lung,,,Nyangpo Tashi Cholung,nyang po bkra shis chos lung,,,,,
286,Lho Chotritang,lho chos khri thang,,,,,,,,,
287,Tseten,tshe tan dgon,,,Tseten Gon Ganden Shedrubling,tshe tan dgon dga' ldan bshad sgrub gling; she tan dgon,才旦寺,,,,
288,Tak Monastery,stag dgon,,大加沿寺,,,,,,,
289,Tuwa,mthu ba,,,tuwacang si,mthu ba dgon bkra shis chos sde; dan tig mthu ba dgon,土哇寺,,,,
290,Dentik,dan tig,,,Dentik Shelgyi Yang Gon,dan tig shel gyi yang dgon,,,,,
291,Neuzur,sne'u zur,,乃苏寺,nezur; naisu si,,,,,,
292,Tolung Takma,stod lung thag ma,,,,stod lung thag ma dgon,,,,,
293,Lhodrak Drowa Gon,lho brag sgro ba dgon,,,,,,,,,
294,Purbuchok,phur bu lcog,,,Purchok; Purbuchog Ritro Jangchubling; Phurbuchok; pubujue si; pujue si,phur bu lcog ri khrod; byang chub gling; phur bu lcog ri khrod byang chub gling,普布觉寺; 普觉寺,,,,
295,Ngulchu Hermitage,dngul chu ri khrod,,欧曲寺,Ngulchu Chodzong; ouqu si,dngul chu ri khrod; dngul chu chos rdzong,,,,,
296,Sekya Tashi Gepel Ling,se kyA bkra shis dge 'phel gling,,,,,色尔加寺,,,,
297,Sang Ngak Tekchen Choling,gsang sngags theg chen chos gling,,,,,,,,,
298,Dakpo Dratsang,dwags po grwa tshang,,,Namrab Dakpo Dratsang; Dakpo Ganden Shedrub Ling,rnam rab dwags po grwa tshang; dwags po dga' ldan bshad sgrub gling; bshad sgrub bstan pa'i 'byung gnas mthong smon dwags po grwa tshang,,,,,
305,Rato,rwa stod,,热堆寺,Rawa To; Rawa Me; Nyetang Dewachen; redui si,ra ba stod; rwa ba stod; ra ba smad; mnyes thang bde ba can,热堆寺,,,,
306,Nyetang Longdol Hermitage,mnyes thang klong rdol ri khrod,,,,,,,,,
307,Cheri Monastery,lcags ri,,,Chakri; Chagri; Chakri Dorjeden,,,,,,
308,Tango,rta mgo,,,Tamgo,rta mgo chos dbyings rdzong,,,,,
309,Bangri Jokpo,bang ri 'jog po,,,,,,,,,
310,Dar Chode,dar chos sde,,,,,,,,,
311,Ladring Chode,bla 'bring chos sde,,,,,,,,,
312,Nyima Tang Monastery,nyi ma thang dgon,,,nimatang si,,尼玛汤寺,,,,
314,Khardo Hermitage,mkhar rdo ri khrod,,卡多寺,kaduo si,,卡多寺,,,,
315,Ganden Jangtse College,dga' ldan byang rtse drwa tshang,,,Jangtse Dratsang,,,,,,
316,Gyuto Dratsang,rgyud stod grwa tshang,,,Gyuto College; Gyuto Monastery; Uto Jampel Ling,dpal ldan stod rgyud stod grwa tshang; dbus stod ‘jam dpal gling,,,,,
317,Takpu Chode,stag phu chos sde,,,Takphu; Takpu; dapu si,stag phu rin chen sding dgon; dbus stod stag phu chos sde; stag phu dgon pa,达普寺,,,,
318,Meldro Chakar Gon,mal gro cha dkar dgon,,,Kargya Gon,dkar rgya dgon,,,,,
319,Ganden Shartse College,dga' ldan shar rtse grwa tshang,,,Shartse Dratsang,,,,,,
321,Rakadrak Hermitage,ra kha brag ri khrod,,,Rakadrak Ritro; rekazha si,se ra byes kyi rag kha brag ri khrod,热喀扎寺,,,,
322,Sera Utse,se ra dbu rtse,,,Drubkhang Hermitage; Sera Utse Ritro; Sera Tse; Sera Peak,se ra dbu rtse ri khrod,,,,,
323,Drula,bru la,,,Kongpo Drula Gon,,,,,,
324,Taktse Rinchen Gang,stag rtse rin chen sgang,,,,,,,,,
325,Kyormolung,skyor mo lung,,觉摩隆寺,juemolong si,,觉摩隆寺,,,,
326,Drakwar Monastery,brag dbar dgon,,,,,,,,,
327,Reting Monastery,rwa sgreng dgon,,热振寺,rezhen si,byang rwa sgreng; rwa bsgrengs; rgyal ba'i dben gnas; rwa sgreng rgyal ba'i dben gnas,热振寺,,,,
331,Nenang,gnas nang,,,nailang si; nainang si,stod lung gnas nang dgon,乃朗寺; 乃囊寺; 奈囊寺,,,,
333,Ngamring Chode,ngam ring chos sde,,,Jang Namring; angren qude si,ngoms ring chos sde,昂仁曲德寺; 曲德寺,,,,
