community_id,person_id
1365,10961
396,2788
496,1564
1248,2854
1045,8861
1044,8861
434,3061; 6667; 8861
474,3296; 6099; 6670
1165,2755; 2854; 2996
1043,8861
1071,10083
512,1831; 2051; 3211; 4820; 8825; 10355; 10815; 12741; 13246; 13248; 13679
1002,13679
1499,12741
1498,12741
1604,4310; 12479
1517,12839; 13686; 13748; 13749; 13750
1703,13865
1255,4358
1403,12180
1747,12980
1341,4358; 10699
1250,7326
1705,2992
893,6065; 13628; 13725
913,3040; 6065
1432,3436; 10617
900,3107; 4309; 11798
1359,6205
404,29; 4285; 9750; 13106; 13107; 13108; 13109; 13110
1353,11741; 13648; 13687; 13812
1144,9761; 11741; 13687
1527,13687
1529,13687
968,11385; 11645; 13152; 13885
1526,13687
1528,13687
233,10536
345,5729
806,2399
375,2788; 2945; 2948; 3296; 3866; 3889; 3977; 8861; 9712; 13698
212,3866; 4077; 13176; 13177
1624,2945
499,6635
387,2789; 7815; 8028; 10531
1228,3141
572,5317; 8986
1270,10442
1273,3778; 3789
390,7895
393,8343
1305,3152; 6076; 7442; 13740; 13743
972,3169
13,4291; 4358; 5151; 5159; 5164; 5166; 6668; 8574; 8825; 9047; 9213; 9525; 9622; 9884; 9895; 9990; 10093; 10146; 11231; 13227; 13228; 13453; 13454; 13455
90,1869; 2491; 2670; 2712; 2790; 2801; 2812; 2943; 3936; 3937; 3938; 3940; 4085; 4113; 4115; 4119; 4166; 4167; 4168; 4170; 5408; 6257; 6278; 6874; 9030; 9482; 9634; 11183; 11307; 11632; 11731; 13064; 13065
822,8964; 9171; 13613
949,11441
370,6738; 8964
1157,7429; 13863
135,2327
959,3744
958,3744; 8354
435,5791
143,6286; 8097
1051,9622; 10093
