community_id,community_name,place_type_id,place_type_name
399,"Geting Ganden Choling ",1,Monastery
40,"Kumbum Jampa Ling",1,Monastery
401,"Lamo Dechen ",1,Monastery
402,"Taktsang Rawato ",1,Monastery
403,Shardzong,1,Monastery
404,Drugu,1,Monastery
408,"Jamyang Mawai Sengge Ling ",1,Monastery
409,"Gyakhar ",1,Monastery
41,"Labrang Tashikhyil",1,Monastery
410,"Urge Dratsang Sangngak Mingye Ling",1,Monastery
411,"Tongkhor Tashilhunpo",1,Monastery
413,Kīrti,1,Monastery
416,"Luchung Taktsang Gon",1,Monastery
424,"E Rigo Chode ",1,Monastery
425,"Lhetag Monastery",1,Monastery
434,"Magur Namgyel Ling",1,Monastery
437,"Kangtsa Ganden Chopel Ling",1,Monastery
440,"Tongkhor Ganden Chokhor Ling ",1,Monastery
442,"Chunak Tashi Choling",1,Monastery
446,"Nyang Tarpa Ling",1,Monastery
454,"Ganden Tashi Choling",1,Monastery
459,"Khagya Me Monastery",1,Monastery
461,"Drakkar Gyelmo",1,Monastery
464,"Tsang Dondrub Rabten Ling",1,Monastery
465,"Gangya Drakkar Gon",1,Monastery
466,"Chokhor Gyel",1,Monastery
467,"Tsagen Peshing",1,Monastery
468,"Ragya Ganden Tashi Jungne",1,Monastery
469,Sershul,1,Monastery
475,Oso,1,Monastery
476,Gartar,1,Monastery
480,"Amchok Monastery",1,Monastery
481,"Gartse Tubten Chokhor Ling",1,Monastery
482,"Martang Obten",1,Monastery
484,"Kīrti Namgyel Dechen Ling",1,Monastery
486,"Sangsang Dungkar",1,Monastery
487,"Lhogyu Sera",1,Monastery
490,Tongkyab,1,Monastery
492,"Lhundrub Dzong",1,Monastery
493,"Yugu Tongtse",1,Monastery
496,"Dedzom Gatsel",1,Monastery
497,"Dzongkar Monastery",1,Monastery
498,Takdo,1,Monastery
499,Dopuk,1,Monastery
500,Tsikyang,1,Monastery
501,Angang,1,Monastery
502,"Chorten Kyak",1,Monastery
503,"Namkyak Monastery",1,Monastery
504,"Karing Tashi Dargye Ling",1,Monastery
505,"Rongwo Tashikhyil",1,Monastery
517,"Tashi Samten Ling",1,Monastery
530,"Ganden Mipam Choling",1,Monastery
532,"Tsenpo Gon",1,Monastery
533,"Martsang Drak Gon",1,Monastery
535,"Pasho Gon",1,Monastery
536,Kundeling,1,Monastery
539,"Tatsak Lhundrub Dechen",1,Monastery
540,"Ganden Shedrub Ling",1,Monastery
543,"Drepung Zurkhang",1,Monastery
544,"Gingtang Gon ",1,Monastery
551,Gyere,1,Monastery
561,"Shelkar Chode",1,Monastery
566,Yonghegong,1,Monastery
572,"Sera Choding",1,Monastery
575,Jangchen,1,Monastery
672,Trandruk,1,Monastery
673,Khangsar,1,Monastery
716,"Drakkar Treldzong Monastery",1,Monastery
717,"Pabongkha Labrang",1,Monastery
718,"Amchok Tsenyi",1,Monastery
722,"Meru Nyingpa",1,Monastery
723,Tengyeling,1,Monastery
724,Tsemonling,1,Monastery
804,"Ganden Jangchub Chopel Ling",1,Monastery
805,"Arik Gonchen",1,Monastery
809,"Chatreng Sampel Ling",1,Monastery
810,"Batang Chode",1,Monastery
812,Semnyi,1,Monastery
815,"Jampa Bumling",1,Monastery
823,Gadong,1,Monastery
829,Dzingchi,1,Monastery
835,Gonsar,1,Monastery
838,Drongtse,1,Monastery
840,"Wolkha Cholung",1,Monastery
862,"Drak Yerpa",1,Monastery
871,"Drib Tsechokling",1,Monastery
879,"Lingtsang Labrang",1,Monastery
880,"Meru Dratsang",1,Monastery
882,"Trijang Labrang",1,Monastery
884,"Demo Labrang",1,Monastery
900,"Shide Dratsang",1,Monastery
911,"Darpoling Tsenkhang",1,Monastery
912,"Tsepak Lhakhang",1,Monastery
913,"Trode Khangsar",1,Monastery
914,"Riwo Choling",1,Monastery
923,"Mejung Tosam Ling",1,Monastery
962,"Tashi Dokha",1,Monastery
979,Bora,1,Monastery
981,"Tsongkhapa Lhakhang",1,Monastery
983,"Pari Drigung",1,Monastery
985,"Jakhyung Rito Pendeling",1,Monastery
988,Serwo,1,Monastery
991,"Tsongkhapa Hall",1,Monastery
1147,"Menlung Tashi Chopel Ling",1,Monastery
1287,"Tawang Monastery",1,Monastery
1369,"Gyarong Khamtsen",1,Monastery
1387,"Wosel Monastery",1,Monastery
1392,"Tashi Lhapuk",1,Monastery
1409,"Petub Khamsten",1,Monastery
1412,"Pethub Stangey Choskhorling",1,Monastery
1420,Tsazar,1,Monastery
1476,"Chokhor Ling",1,Monastery
1477,"Ganden (India)",1,Monastery
1478,"Ling Khamtsen (India)",1,Monastery
1480,"Pombora Khamtsen",1,Monastery
892,Namgyel,1,Monastery
1024,"Kumbum Printing Press",1,Monastery
93,Tsechen,1,Monastery
1002,Raknyak,1,Monastery
338,"Tetung Monastery",1,Monastery
346,"Pari Tashi Choling ",1,Monastery
370,"Evaṃ Monastery",1,Monastery
106,"Chokhor Tse",1,Monastery
109,"Changlung Choding ",1,Monastery
116,Mending,1,Monastery
1161,"Tsang Chubzang",1,Monastery
121,"Tolung Namgyel",1,Monastery
124,Pelteng,1,Monastery
126,Tselmin,1,Monastery
1282,"Drokge Monastery",1,Monastery
205,Rashuk,1,Monastery
206,Dzamtang,1,Monastery
208,"Tsechu Monastery",1,Monastery
209,"Choje Monastery",1,Monastery
210,"Tsangwa Monastery",1,Monastery
596,"Pel Zangden",1,Monastery
597,"Chukha Monastery",1,Monastery
90,"Jonang Monastery",1,Monastery
956,"Ngedongyi Chozhi Gonde",1,Monastery
96,"Drakram ",1,Monastery
97,Gharung,1,Monastery
110,"Takten Puntsok Ling ",1,Monastery
1089,Dungkar,1,Monastery
1259,"Penyul Drosa",1,Monastery
1281,"Drayab Monastery",1,Monastery
1297,"Namtseding Monastery",1,Monastery
1437,Tabka,1,Monastery
1438,Trawakha,1,Monastery
217,"Dakpo Draka",1,Monastery
224,Poto,1,Monastery
226,Puchung,1,Monastery
251,"Dingma Monastery",1,Monastery
291,Neuzur,1,Monastery
293,"Lhodrak Drowa Gon",1,Monastery
435,Chekha,1,Monastery
531,Tashilung,1,Monastery
910,Nyarma,1,Monastery
959,"Pangsa Monastery",1,Monastery
961,"Khakyong Drak",1,Monastery
618,Sekharchung,1,Monastery
101,"Pokhang ",1,Monastery
117,Menchu,1,Monastery
1247,Chimilung,1,Monastery
1294,"Lo Monastery",1,Monastery
1439,Tangsak,1,Monastery
