community_id,tbrc_id,community_name,founded_date,founded_date_approximate,founded_date_alternate,founded_century_id,existed_by_century_id,founded_century_id,existed_by_century_id
1529,G1PD110070,Ralong,,0,,69,,69,
1618,,Pende Labrang,,0,,69,,69,
559,,Dekyi Ling,,0,,70,,70,
1686,,Thangu Monastery,,0,,70,,70,
1696,,Papyuk,,0,,70,,70,
1713,G1802,Tashi Gomang,,0,,70,,70,
60,G3JT12623,Tsike,,0,,73,,73,
179,G3268,Dezhung Monastery,,0,,73,,73,
296,G1846,Sekya Tashi Gepel Ling,,0,,73,,73,
392,G58,Gorina Kunang Osel Ling ,,0,,73,,73,
482,G2535,Martang Obten,,0,,73,,73,
728,G1062,Surkhang Manor House,,0,,73,,73,
874,G4554,Jebumgang Lhakhang,,0,,73,,73,
898,G1KR830,Rabsel Tsenkhang,,0,,73,,73,
939,G232,Puntsok Podrang,,0,,73,,73,
976,G4935,Dzamtang Gepel Hermitage,,0,,73,,73,
1185,G1TD35,Gyelwa Sengge Ngaro Lhakhang,1809,0,,73,,73,
1190,,Khamarin Khiid,1820,0,,73,,73,
1284,G4154,Dzato Changmai Monastery,,0,,73,,73,
1313,G2CN10949,Dzonggo,,0,,73,,73,
1407,G1BL25,Stok Royal Palace,,0,,73,,73,
1434,G3787,Kardza,,0,,73,,73,
1435,G4110,Lautang,,0,,73,,73,
1467,,Sengchen Namdrak Monastery,,0,,73,,73,
1468,,Tsarashab Hermitage,,0,,73,,73,
1496,G3266,Dzinda Neseb,,0,,73,,73,
1560,,Lhalung Ritro,,0,,73,,73,
1562,G3271,Dramagang,,0,,73,,73,
1569,,Khalek,,0,,73,,73,
1524,,Ghum Yiga Choeling,,0,,76,,76,
454,,Ganden Tashi Choling,,0,,77,,77,
509,G3203,Gome Oseltang,,0,,77,,77,
526,G2JM249,Changma Gar,,0,,77,,77,
717,,Pabongkha Labrang,,0,,77,,77,
844,,Pangdatsang Manor House,,0,,77,,77,
848,,Palha Manor House,,0,,77,,77,
857,,Lhalu Podrang,,0,,77,,77,
882,,Trijang Labrang,,0,,77,,77,
883,,Kunsangtse,,0,,77,,77,
884,,Demo Labrang,,0,,77,,77,
917,G8LS12773,Nyimalung Monastery,,0,,77,,77,
1211,,Gojo Banak,,0,,77,,77,
1298,G2CN10934,Surkhang Printery,,0,,77,,77,
1441,G2JM244,Lekshe Nyida Ling,,0,,77,,77,
1464,,Gagu Hermitage,,0,,77,,77,
1472,,Drepung (India),,0,,77,,77,
1473,,Buxa Chogar Tosam Tardo Ling,,0,,77,,77,
1474,,Ganden Tritok Khang (India),,0,,77,,77,
1633,G2CN11106,Khyungtak,,0,,78,,78,
1714,,Durpin Monastery,,0,,79,,79,
423,G395,Pabongkha Hermitage ,,0,,,25,,25
1500,G4454,Jasa Lhakhang,,0,,,33,,33
1110,G3898,Rahor,,0,,,37,,37
1151,G2819,Zangri Kangmar,,0,,,41,,41
1230,G437,Taklung Drak,,0,,,41,,41
945,G1AG12,Legon Chokyi Podrang ,,0,,,45,,45
1217,G430,Chakhyi Lhakhang,,0,,,45,,45
145,G1689,Druk Monastery,,0,,,49,,49
1101,,Lotsawa Lhakhang,,1,,,49,,49
1238,G1652,Wonto Monastery,,0,,,49,,49
1276,G1019,Nedruk Lhakhang,,0,,,49,,49
1498,G1KR2785,Tubten,,0,,,49,,49
1706,G4811,Geri,,0,,,49,,49
572,G1TD38,Sera Choding,,0,,,53,,53
1226,G3919,Chodrak Gon,,1,,,53,,53
1271,G4166,Tarpeling,,0,,,53,,53
1356,G2808,Drakmar Drinzang,,0,,,53,,53
1234,G1AG108,Khachar,,0,,,57,,57
1270,G1TD40,Dechenpuk,,0,,,57,,57
1337,G1655,Khardo Monastery,,0,,,57,,57
424,,E Rigo Chode ,,0,,,61,,61
1214,G4808,Trengpo,,0,,,61,,61
1215,G2GS1305,Tashi Tse,,0,,,61,,61
1246,G2463,Ara Khamtsen,,0,,,61,,61
1343,G2807,Yamalung,,0,,,61,,61
351,G1162,Dab Yangteng Monastery,,0,,,65,,65
1587,G1ER2,Stakna,,0,,,65,,65
1704,G00JR820,Ke Mingyur Dorje Drak,,0,,,65,,65
385,G382,Tsamdrak Monastery ,,0,,,69,,69
1195,,Gyu Dratsang,,0,,,69,,69
1254,G1964,Gyakhar Gar,,0,,,69,,69
1341,G1KR594,Namgyel Ling,,0,,,69,,69
1549,G1KR1632,Kagyu Gonsar,,0,,,69,,69
1469,,Garpa Ritro,,0,,,73,,73
1646,,Do Dzong Hermitage,,0,,,73,,73
1647,,Nechen Pema Ritro,,0,,,73,,73
1212,G3821,Dago Monastery,,0,,,77,,77
1363,,Taktse Hermitage,,0,,,77,,77
1366,,Drakkar Jago,,0,,,77,,77
1367,,Samdrub,,0,,,77,,77
1674,G3682,Yaso Monastery,,0,,,78,,78
9,G17,Katok,1159,0,,,,,
10,G14,Mindroling,1676,0,,,,,
11,G11,Dorje Drak,1632,0,,,,,
12,G16,Dzogchen Monastery,1685,0,,,,,
13,G20,Shechen,1734,0,,,,,
14,G18,Pelyul Monastery,1665,0,,,,,
15,G3429,Sekhar Gutok,,0,,,,,
21,G4202,Zhung Treuzhing ,1150,0,,,,,
28,,Yelpa,,0,,,,,
32,G211,Ngor Ewaṃ Choden,1429,0,,,,,
33,G1KR1565,Dar Drangmoche,,0,,,,,
35,G275,Zhalu,1027,0,,,,,
36,G337,Ganden,1409,0,,,,,
37,G154,Sera Monastery,1419,0,,,,,
38,G108,Drepung Monastery,1416,0,,,,,
39,G104,Tashilhunpo,1447,0,,,,,
40,G160,Kumbum Jampa Ling,1560,0,,,,,
41,G162,Labrang Tashikhyil,1709,0,,,,,
43,G188,Adzom Gar,1842,0,,,,,
44,G3636,Nyoshul Jonpalung Monastery,1910,0,,,,,
45,G2043,Zha Lhakhang,798,0,,,,,
48,G375,Dodrubchen Monastery,1850,1,,,,,
52,G3518,Dratang,1081,0,,,,,
59,G1AG98,Neten Monastery,1858,0,,,,,
62,G225,Nartang,1153,0,,,,,
63,G197,Daklha Gampo,1121,0,,,,,
64,G434,Densatil,1158,0,,,,,
67,G279,Tropu Monastery,1212,0,,,,,
68,G30,Tsel Gungtang,1175,0,,,,,
70,G1KR1663,Barom Gon,1160,0,,,,,
75,,Lhachuk,1193,0,,,,,
76,,Jupu Monastery,1187,0,,,,,
78,G368,Rokam,1183,0,,,,,
80,G67,Taklung Monastery,1180,0,,,,,
82,G340,Drigung Til,1179,0,,,,,
85,G521,Shukseb,1181,0,,,,,
87,G3582,Ralung Monastery,1180,0,,,,,
90,G201,Jonang Monastery,1294,0,,,,,
91,G226,Sangpu Neutok,1072,0,,,,,
92,G4605,Nyetang Drolma Lhakang,1055,0,,,,,
93,G357,Tsechen,1366,0,,,,,
95,G33,Tsurpu Monastery,1189,0,,,,,
96,G4252,Drakram ,,0,,,,,
98,,Palung,,0,,,,,
101,G2844,Pokhang ,1213,0,,,,,
102,G1511,Pelkhor Chode,1418,0,,,,,
105,G391,Serdokchen,1475,0,,,,,
106,,Chokhor Tse,,0,,,,,
107,G1KR1359,Tupten Dargye Ling ,,0,,,,,
108,,Puntsok Samten Ling ,,0,,,,,
109,,Changlung Choding ,,0,,,,,
110,G390,Takten Puntsok Ling ,1615,0,,,,,
114,G4818,Kyangdur ,,0,,,,,
115,G381,Chung Riwoche ,1386,0,,,,,
119,G1AG83,Cholung Jangtse,,0,,,,,
121,G346,Tolung Namgyel,,0,,,,,
122,G307,Sabzang Ganden,,0,,,,,
124,G344,Pelteng,,0,,,,,
126,,Tselmin,,0,,,,,
128,G233,Nalendra Monastery,1436,0,,,,,
130,G444,Yabzang Monastery,1206,0,,,,,
134,G1KR1885,Choding Monastery,1215,0,,,,,
135,G2061,Rinchen Ling,1481,0,,,,,
136,G1972,Jangchen,1579,0,,,,,
137,G400,Litang Chokhor Ling,1580,0,,,,,
140,G447,Ngari Dratsang,1541,0,,,,,
141,G4195,Kharchu Monastery,,0,,,,,
146,,Uri Monastery,,0,,,,,
149,,Gotsang Hermitage ,,0,,,,,
150,G1KR1891,Powo Samling,,0,,,,,
154,G1AG90,Kharak,1181,0,,,,,
156,G165,Gonlung Jampa Ling,1604,0,,,,,
157,G488,Shar Yelpuk ,1171,0,,,,,
158,G2628,Jang Tana ,1068,0,,,,,
159,G51,Dodzong,1192,0,,,,,
160,G1AG56,Sho Monastery,1167,0,,,,,
173,G00KG09762,Boudhanath,,0,,,,,
178,G2552,Tarlam,1436,0,,,,,
180,G213,Dzongsar,1253,0,,,,,
181,G3946,Longtang Drolma Lhakhang,638,0,,,,,
186,,Chokhor Uding,,0,,,,,
187,,Lharitse,,0,,,,,
188,G1AG31,Garmo Chodzong,,0,,,,,
189,,Lekdrub Dratsang,,0,,,,,
190,G394,Gyume Dratsang,1721,0,,,,,
191,G4247,Riwo Gepel,,0,,,,,
193,,Samdrub Ling,,0,,,,,
195,G2824,Tangpoche,1017,0,,,,,
197,G4783,Zhangzhung Dorjeden,1021,0,,,,,
204,,Darnga Hermitage,,0,,,,,
205,G4932,Rashuk,,0,,,,,
206,G529,Dzamtang,1425,0,,,,,
207,G193,Lhundrubteng,,0,,,,,
208,G1KR168,Tsechu Monastery,1462,0,,,,,
209,G1KR236,Choje Monastery,1425,0,,,,,
210,G1KR166,Tsangwa Monastery,1717,0,,,,,
212,G1PD96118,Old Ditsa,1393,0,,,,,
214,G2576,Ba Monastery,,0,,,,,
215,G35,Karma Gon,1147,0,,,,,
216,G280,Gyel Lhakhang,1012,0,,,,,
217,,Dakpo Draka,,0,,,,,
218,G70,Riwoche Monastery,1276,0,,,,,
219,G4744,Riwoche Yanggon,,0,,,,,
225,G2832,Rechung Puk,,0,,,,,
227,,Gyachak Ri,,0,,,,,
228,G2251,Sewalung,1450,0,,,,,
234,G1BL6,Chemrey,1640,1,,,,,
235,,Chukyer Gonsar,,0,,,,,
236,G330,Tsunmo Tsel,1420,0,,,,,
237,G180,Chamdo Jampa Ling ,1444,0,,,,,
241,G1KR1751,Patsang Gon Yungdrung Rabten Ling,1847,0,,,,,
242,G1KR1755,Lupuk Gonpa ,1626,0,,,,,
243,G1811,Lungkar,1785,0,,,,,
244,G4,Menri,1404,0,,,,,
245,G3540,Yeru Wensakha,1072,0,,,,,
247,G2601,Pelme Tekchen Evam Gatsel Ling ,1640,0,,,,,
248,G2611,Nangchen Gar,,0,,,,,
249,G4147,Lingga Dewachen ,1437,0,,,,,
250,G324,Musu Yama Monastery,1459,0,,,,,
254,G351,Tseringjong,1762,0,,,,,
255,G3386,Driru Gon,1440,0,,,,,
256,G1237,Den Chokhor,,0,,,,,
259,G3774,Sinmo Dzong ,,0,,,,,
265,,Zhertsa Chode ,,0,,,,,
266,G1541,Dargye Monastery,1642,0,,,,,
267,,Potima ,1536,0,,,,,
269,G2GS1070,Tanak Serling,1466,0,,,,,
270,G506,Tanak Tubten Namgyel ,1473,0,,,,,
271,G241,Japuk Dongak Dargye Ling,1469,0,,,,,
272,,Sakya Drakshar,,0,,,,,
274,G4865,Azha Yarpung,1829,0,,,,,
275,G245,Dreyul Kyetsel ,1449,0,,,,,
276,G265,Nyenyo Jagoshong ,1490,0,,,,,
277,G250,Chokhor Lhunpo ,,0,,,,,
278,G3488,Tashi Pende,,0,,,,,
280,G1654,Chakra,1125,0,,,,,
287,G288,Tseten,1623,0,,,,,
288,G1KR2304,Tak Monastery,,0,,,,,
289,G3222,Tuwa ,1640,0,,,,,
290,G314,Dentik ,911,0,,,,,
292,G439,Tolung Takma,,0,,,,,
293,G4188,Lhodrak Drowa Gon,,0,,,,,
