"Place Name","BDRC ID",community_id,person_id
"Darpoling Tsenkhang",NULL,911,10687
"Dartang Monastery",G523,567,"8753; 8754; 8757; 8892; 8972; 9083; 11003; 12171"
"Dartsang Kelzang Monastery",G3992,957,"9688; 10083"
"Dashchoilin Khiid",G2DOMM0024,1679,11437
"Datsan Gunzechoinei",NULL,1055,13510
Datsang,G3183,1487,5824
Datsen,G1KR2480,1043,8861
"Dechen Sangngak Khar",G2362,343,"8108; 8109; 4489; 4494; 5706; 6286; 6466; 6526; 4265; 4276"
"Dechen Teng",NULL,231,"9201; 9634"
Dechenpuk,G1TD40,1270,10442
"Dedzom Gatsel",G1KR2415,496,1564
"Demola Monastery",NULL,279,"3778; 3788; 3789; 3791; 13096; 13113; 6340; 6690"
"Den Chokhor",G1237,256,"8085; 13094"
"Denang Monastery",G1740,489,7945
Densatil,G434,64,"8474; 10835; 11141; 4358; 4368; 6159; 6756; 7636; 2539; 2595; 2799; 2899; 3121; 3736; 4086; 11877; 13073; 13437; 13707"
"Dentik ",G314,290,"4607; 9618; 2441; 2948"
"Derge Parkhang",G1657,412,"3485; 4358; 6499; 11972; 12741; 13532; 13533; 9383; 10699"
"Dezhung Monastery",G3268,179,"10355; 10815; 12500; 12980"
"Dhagpo Kagyu Ling",NULL,1507,11385
"Dharma Swami Buddha Vihara",NULL,1594,"12479; 13745"
Dilyak,"G2642 ",1701,13860
"Dingma Monastery",G1KR1528,251,2340
Dingpoche,G206,1157,"13863; 7429"
"Dingri Langkhor",G3125,711,"5644; 6721; 2510; 2806"
Diskit,NULL,1417,"7305; 7525"
"Ditsa Tashi Choding ",G1PD96117,375,"2788; 2945; 2948; 3296; 3866; 3889; 3977; 13698; 8861; 9712"
"Do Dorje Drak",G3493,1323,13617
"Do Dzong Hermitage",NULL,1646,"3436; 3627; 9612"
"Dobi Ganden Pelgye Ling",G1970,372,"4611; 4642"
"Dodedrak Monastery ",NULL,386,8028
"Dodrubchen Monastery",G375,48,"9579; 4676; 12171; 2541; 4185; 4272"
Dodzong,G51,159,7636
"Dokho Monastery",G3826,1743,12980
Doling,G1PD110075,1528,13687
"Dongkar Dzong",G1AG111,1285,6874
Dongtok,G1567,1630,13806
"Dongtre Samten Ling",NULL,569,7718
Dopuk,G1PD96278,499,6635
"Dori Hermitage",NULL,491,7945
"Doring Manor House",G2CN10930,852,5306
"Dorje Drak",G11,11,"8181; 8964; 8975; 9126; 9158; 9169; 9254; 9383; 9513; 9935; 2997; 3006; 3866; 3883; 13190; 13191; 13617; 13654; 13689; 13817"
Dosib,NULL,1563,13707
"Drak Lhalubuk",G1KR847,1359,6205
"Drak Yerpa",G3199,862,"4358; 4490; 12839; 8538; 9126; 9618; 10083; 2819"
"Drak Yongdzong",G2812,863,"3006; 13189; 13707; 4358; 4626; 5151; 7442; 8474; 8857; 9126; 9169; 9579; 9935; 10373"
Drakkar,G3784,1556,3485
"Drakkar Gepel Ling",NULL,587,12785
"Drakkar Gyelmo",NULL,461,"2926; 3080; 4607; 6536; 7105"
"Drakkar Jago",NULL,1366,10961
"Drakkar Tashiding",G1PD110068,1144,"9761; 11741; 13687"
"Drakkar Taso",G317,1232,"9634; 10355; 2758; 3178"
"Drakkar Treldzong",G1PD83959,1711,9083
"Drakkar Treldzong Monastery",G1917,716,4611
"Draklha Gampo",G2CN11109,1710,9083
"Drakmar Drinzang",G2808,1356,"9574; 12171"
"Drakmar Keutsang",G3CN282,1465,"13654; 7442"
"Drakram ",G4252,96,"2812; 2823; 4113"
"Drakri Hermitage",G2508,841,13683
"Draksum Puri",G2AG22,1137,13112
"Drakwar Monastery",G3012,326,7083
Dramagang,G3271,1562,"8507; 10355"
"Dranang Jampa Ling",G4CZ1550,1373,"5894; 13863"
Dranggo,G3844,1108,8754
Dranggyekha,G3JT13480,1532,"9761; 3266"
"Drangjekha ",NULL,417,7874
Drango,G3854,448,13171
"Drapu Choling",NULL,1546,"13859; 9761"
Dratang,G3518,52,"11285; 13863; 4358; 7114; 3006; 3937"
"Drati House",G2345,1268,5485
"Drayab Monastery",G4596,1281,2591
"Drentang Monastery",G1KR604,1250,7326
"Drepung (India)",NULL,1472,"7007; 8156"
"Drepung Deyang College",G153,908,13725
"Drepung Gomang Dratsang",G109,342,"13182; 13183; 13195; 13202; 13510; 8184; 9055; 9254; 9693; 10394; 11437; 4380; 4488; 4490; 4493; 4607; 4642; 4720; 5317; 5328; 5338; 5360; 5729; 5796; 6161; 6185; 6466; 6493; 6502; 6505; 6548; 6622; 6635; 6646; 6670; 6731; 7162; 7170; 7232; 7882; 1564; 2393; 2436; 2441; 2442; 2456; 2758; 2784; 2872; 2996; 3008; 3064; 3086; 3173; 3307; 3758; 3769; 3866; 4163; 4206"
"Drepung Loseling College",G126,355,"4000; 4092; 4276; 4277; 9050; 9051; 11131; 13109; 13628; 13652; 13683; 13823; 4494; 4495; 4499; 5381; 6498; 7007; 7743; 7895"
"Drepung Monastery",G108,38,"4535; 4730; 5317; 5338; 5805; 5849; 5871; 5897; 6009; 6065; 6110; 6161; 6286; 6470; 6535; 6536; 6670; 6746; 6874; 6910; 6935; 6953; 6997; 7007; 7107; 7162; 7232; 8103; 8986; 9062; 9126; 9213; 9254; 9839; 9873; 10579; 11114; 11131; 11437; 29; 1637; 1901; 2327; 2328; 2330; 2339; 2399; 2436; 2462; 2506; 2758; 2787; 2912; 2949; 3008; 3040; 3064; 3085; 3107; 3225; 3307; 3758; 3782; 3866; 3877; 3955; 3989; 4092; 4141; 4259; 4285; 4314; 11565; 11731; 12096; 12828; 12883; 13026; 13168; 13182; 13423; 13519; 13596; 13625; 13628; 13652; 13683; 13694; 13708; 13725; 13737; 13740; 13743; 13744; 13822"
"Drepung Ngakpa Dratsang",G2CN11048,909,"5461; 6646"
"Drepung Zurkhang",NULL,543,10623
"Dreyul Kyetsel ",G245,275,"9213; 10528; 7370; 13721; 1985; 3152; 3736"
"Drigung Kagyu",T1190,20,"3907; 7523; 13241; 13449; 13451"
