"Place Name","BDRC ID",community_id,person_id
"Katog Tingdzin Ling",NULL,1734,13884
Katok,G17,9,"12980; 12982; 13134; 13157; 13169; 13170; 13228; 13884; 8177; 8181; 8536; 8538; 8539; 8543; 8549; 8551; 8562; 8563; 8566; 8567; 8574; 8575; 8580; 8583; 8584; 8585; 8592; 8596; 8600; 8603; 8609; 8610; 8616; 8617; 8618; 8624; 8625; 8629; 8630; 8631; 8633; 9047; 9083; 9105; 9190; 9297; 9372; 9593; 9612; 9895; 9929; 9990; 10018; 10019; 10093; 10355; 10422; 10571; 10572; 10573; 10647; 10649; 10654; 10656; 10658; 10659; 10673; 10676; 10678; 2118; 2589; 2776; 2780; 2781; 2992; 3436; 4028; 4140; 4291; 4358; 4622; 4691; 5151; 7152; 7254; 7582; 7736"
"Katok Drakdong Ritro",NULL,1014,8624
"Katok Ritrö retreat center",NULL,1729,13884
"Katok Shedra Norbu Lhunpo",G2JM237,1173,9593
"Ke Mingyur Dorje Drak",G00JR820,1704,2992
"Kelzang Sanggye Choling Monastery",G1629,450,"4125; 11603; 13850"
Key,NULL,1414,7305
Khachar,G1AG108,1234,10497
"Khacho Deden",G1AG60,994,"11307; 2670; 4170"
"Khadro Ling",NULL,1642,12981
"Khagya Me Monastery",G2530,459,"13547; 5889; 6025; 7170"
"Khakyong Drak",G1AG38,961,7373
Khalek,NULL,1569,9047
"Kham Kyogon",G2594,703,13233
"Khamarin Khiid",NULL,1190,13588
"Khampa Gar",G50,720,8825
"Khampa Gar (Tashi Jong)",NULL,1510,11385
"Khamshe Dargye Ling",G4874,445,"8507; 9593; 9622; 9990; 10355; 4820; 2069; 12180; 12500; 12553; 12742; 12743; 13707"
Khangmar,G3810,1243,2069
Khapung,G1KR1185,1087,12100
Kharak,G1AG90,154,"6134; 3881"
"Kharchu Monastery",G4195,141,"2584; 4043; 13086; 8857; 9513; 11352"
"Khardo Hermitage",G402,314,6175
"Kharta Tarpa Ling",G3119,834,2504
"Khawa Karpo",G3614,1083,"1659; 4028; 4291; 13109; 13139; 13659"
"Khawa Lungri",G3197,1291,8538
"Khemar Monastery",G1798,1244,8538
"Khordong Monastery",G3842,1316,"9945; 13617; 13688; 13689; 13810; 13817; 13879"
"Khoting Lhakhang",G4196,811,"4358; 5999"
Khyage,G298,1091,"6353; 13547"
"Khyunggon Monastery",G339,1265,9590
"Khyunglung Ngulkhar",G2CN11047,1364,"10961; 6681; 13566"
"Khyungpak Tsang",NULL,263,13086
Khyungritang,G4347,1009,2784
Khyungtak,G2CN11106,1633,"13697; 13811; 13828"
Kilung,G3955,1380,4622
Kīrti,G4786,413,"1852; 1901; 1903; 3049; 11569; 11575; 13168"
"Kīrti Namgyel Dechen Ling",G3190,484,"11569; 11575; 13168; 9703; 1575; 1901; 1902; 1903; 3049; 4196"
Kokonor,G2DB25462,1142,"1871; 3883; 4611; 5871"
Kolri,G1KR685,1705,2992
"Kongpo Bonri",G4498,1258,"13188; 13221; 10961"
"Kongpo Chabkar","G2796 ",1037,9442
"Kumbum Jampa Ling",G160,40,"8861; 8986; 9712; 9983; 2339; 2392; 2393; 2399; 2527; 2755; 2788; 2945; 2948; 2974; 2996; 3008; 3296; 3307; 3735; 3739; 3758; 3889; 4077; 5328; 5338; 5436; 5479; 5490; 5729; 5897; 5902; 6161; 6419; 6526; 7162; 7929; 12828; 13173; 13179; 13180; 13510; 13744"
"Kumbum Medical College",G1945,925,9712
"Kumbum Monastery",G2610,1175,"13572; 7641"
Kundeling,G219,536,"4380; 5328; 10394; 4163"
"Kunga Choling",NULL,1194,7162
Kuntsar,G1KR151,1113,8754
"Kunzang Dechen Osel Ling",NULL,1453,"10355; 11385; 12180"
"Kunzang Odsal Palyul Changchub Choling ",NULL,1656,8972
"Kuso Togyel",G2CN11113,1712,9083
"Kyangdur ",G4818,114,"11307; 2137"
Kyangtsang,G4491,1267,"10961; 13596"
"Kyichu Lhakhang ",G1TD43,393,8343
"Kyipuk Deden",G1AG61,995,"11307; 4170"
"Kyire School",NULL,1651,2424
"Kyoda Monastery",G4293,987,13078
"Kyodrak Monastery",G2651,1338,4358
"Kyormolung ",G4164,325,"5432; 6351; 8354; 9693; 9795; 4276"
Labchi,G1CZ912,1163,"2899; 4611; 6856; 13240; 8454; 10536; 10835"
"Labrang Gyume Dratsang",NULL,1523,6646
"Labrang Gyuto Dratsang",NULL,1522,"7882; 2784"
"Labrang Hevajra College","G3212 ",922,"2758; 7881"
"Labrang Kālacakra College","G8LS12072 ",920,"2943; 2996"
"Labrang Medical College",G1716,921,"2996; 13731"
"Labrang Shar",G879,1220,"5408; 4217; 4219"
"Labrang Tashikhyil",G162,41,"1901; 2235; 2237; 2238; 2409; 2436; 2495; 2506; 2521; 2758; 2784; 2787; 2788; 2943; 2948; 2949; 2996; 3008; 3064; 3074; 3080; 3086; 3134; 3296; 3733; 3758; 3769; 3866; 3889; 4196; 12171; 13176; 13547; 13731; 13866; 8069; 8128; 8184; 9523; 4607; 4642; 4720; 4730; 5338; 5410; 5436; 5490; 5889; 5902; 5910; 6025; 6045; 6110; 6198; 6350; 6353; 6502; 6505; 6529; 6535; 6536; 6622; 6634; 6646; 6731; 6760; 6818; 6928; 6929; 7105; 7107; 7170; 7876; 7876; 7877; 7879; 7882; 7937"
"Labsum Shedrub Ling",NULL,1479,"7007; 10355"
Labu,NULL,1578,13865
Lachab,G1KR2864,1517,"12839; 13686; 13748; 13749; 13750"
"Lachen Monastery",NULL,1685,9764
"Ladring Chode",G2359,311,6219
"Lama Ling",NULL,1672,10019
Lamayuru,NULL,821,10199
"Lamo Dechen ",G271,401,"8860; 8861; 13175; 13176; 2436; 2527; 2974; 3061; 3062; 3064; 3296; 3769; 6099; 6161"
"Lampar Monastery",NULL,537,10857
"Langling Monastery",G1AG64,1018,6770
Langna,G1569,447,"11883; 13186; 13806; 2051"
Langtang,G4576,199,"6285; 10644"
"Larung Gar",G3997,527,"10093; 10457; 13810; 13819"
Lautang,G4110,1435,"3436; 3627; 9612"
"Layak Guru Lhakhang",G388,828,5588
"Legon Chokyi Podrang ",G1AG12,945,13440
"Lek Gon",G1673,1056,8574
"Lekdrub Dratsang",NULL,189,12521
"Lelung Monastery",G184,1324,9361
"Lerab Ling",NULL,1613,13697
Lhachuk,NULL,75,6547
"Lhadong Gon",G3122,576,7775
"Lhadrang Monastery",G1681,1339,"4358; 13654"
"Lhadzong Tashigang ",G1TD42,390,7895
Lhagang,G3791,127,"12743; 10355; 10811; 4164"
"Lhakhang Labrang",G436,937,"5626; 7545"
Lhalam,G2635,1516,"12839; 13686; 13692; 13747"
"Lhalung Gon",G389,529,"13128; 5511; 2665; 9618"
"Lhalung Ritro",NULL,1560,13725
"Lhamo Latso",G4635,1221,"11114; 11437; 3307"
Lharitse,NULL,187,13026
"Lhasa Tsuklakhang ",G4261,877,"12980; 13652; 13683; 13724; 13805; 13816; 3152; 3169; 3182; 3307; 3736; 3822; 3866; 4168; 4358; 5805; 5824; 5897; 6009; 6065; 6076; 6646; 7162; 7305; 8455; 8538; 8964; 8986; 9105; 9469; 10811"
"Lhatel Rinchen Ling",G64,129,2789
Lhateng,g4812,1205,"2683; 9201"
"Lhetag Monastery",NULL,425,9062
"Lho Chotritang ",G2GS1296,286,"2328; 3778; 13096"
"Lhodrak Drowa Gon",G4188,293,"2592; 2593; 5817; 5818; 5819"
"Lhogyu Sera",NULL,487,7945
"Lhopa Khamtsen",G2470,1315,3877
"Lhundrub Deyang",NULL,388,4372
"Lhundrub Dzong",NULL,492,1564
Lhundrubteng,G193,207,"8; 2336; 2720; 5641; 6499; 6668; 7581; 7803; 11883; 11972; 12745; 13187; 13249; 13511; 13512; 13513; 13514; 13515; 13528; 13532; 13533; 13654; 13699; 13700; 13702; 8507; 9105; 9594; 9622; 9990; 10355; 10617; 10644; 11290"
"Lhunpo Tse",G1187,574,3762
Likir,G1KG24303,1103,"13737; 13823"
"Ling Khamtsen",G2GS1126,1231,"11131; 7007"
"Ling Khamtsen (India)",NULL,1478,7007
"Lingga Dewachen ",G4147,249,"10591; 1898"
Lingshed,G0LAT587,1662,13823
"Lingto College",G1AG96,1186,11597
"Lingtsang Labrang",NULL,879,7007
"Lingyin Temple",NULL,1609,3822
"Litang Chokhor Ling",G400,137,12828
"Litang Nyingma Dratsang",G3747,1016,8603
"Lo Gekar",NULL,1593,"13790; 13791"
"Lo Monastery",G3041,1294,"5820; 7090"
"Longtang Drolma Lhakhang",G3946,181,"4358; 7326; 8578; 10815"
"Luchung Taktsang Gon",G4858,416,"6345; 6353"
Lukhang,G1KR851,878,"5871; 13683"
Lumbini,G2MS14675,1494,"13745; 10355"
"Lupuk Gonpa ",G1KR1755,242,12096
"Magur Namgyel Ling",G1KR2451,434,"6667; 3061; 8861"
"Mahā Kyilung",G353,1431,"9612; 10617; 3485; 3627"
"Mahasiddha Nyingmapa Center",NULL,1725,13884
Manasarovar,G3248,1222,"12403; 13174; 13566; 13740; 13743; 13883; 2662; 2806; 6979; 9923"
"Mandal Gon",G1656,1183,"9622; 4358"
Mangdu,g4482,1180,6586
"Mangyul Jamtrin Lhakhang",G2GS1293,1125,"13877; 13878"
Māratika,G2MS14672,1073,"13648; 7442; 9"
"Marpa Kagyu",T1187,6,7815
"Martang Obten",G2535,482,6045
"Martsang Drak Gon",G4651,533,6161
Matho,G1BL18,1405,13652
Mawochok,G7,553,"13843; 4358; 5999; 6010; 2810"
"Mejung Tosam Ling",NULL,923,"2943; 6646; 7879"
"Meldro Chakar Gon",G3011,318,"2871; 2891; 13195; 8354; 8964"
Men-tsee-khang,NULL,1530,"12439; 13693; 13694"
Menchu,G3055,117,3939
Mending,G1AG44,116,13065
"Menkhar Pende Ling",G1183,1036,5326
"Menlung Tashi Chopel Ling",G4699,1147,2943
"Menlung Trengpachen",G260,1126,2427
Menri,G4,244,"2980; 2987; 12096; 13118; 13132; 13135; 13140; 13174; 13220; 13221; 13531; 13596; 10961"
"Menri (Dolanji)",G2CN11149,1266,13596
Mentsikhang,G270,915,"12439; 13598; 13693; 13694; 3307; 3955; 5894; 5897; 8906"
"Mersho Monastery",G305,1115,5641
"Meru Dratsang",G4555,880,6498
"Meru Nyingpa",G4556,722,5717
Mindroling,G14,10,"4659; 4691; 5151; 5159; 5805; 6668; 6982; 3883; 4080; 4291; 4358; 11741; 12980; 13123; 13124; 13197; 13453; 13454; 13455; 13654; 13692; 8181; 9254; 9361; 9383; 9394; 9579; 9590; 10633"
"Minyak Kyernang",G4109,1433,10617
"Mokru Ganden Jampeling",G1KR2037,365,9523
"Monkhar Namseling",G2813,523,"9169; 13190"
"Montang Chode",NULL,1600,12479
"Moscow Buddhist Center Lama Tsongkhapa",NULL,1683,11437
"Muge Tashikhorlo ",G4353,367,"9523; 9873; 1575; 2949; 5824; 11569"
Mugulung,G2GS1264,825,"4354; 6100"
Muksang,G3466,1096,"8972; 9047; 9105; 9190"
"Mulagandhakuti Vihara",NULL,1410,13652
"Musu Yama Monastery",G324,250,1898
"Nagi Gonpa",NULL,1537,12839
"Nakchung Ritro",NULL,510,"11427; 4228"
"Nakdo Monastery",G4854,1038,6344
Nālandā,G2CN568,1065,"5461; 5717; 6037; 6892; 1728; 2810; 4354; 13066; 10280; 10546"
"Nalatse Nepoche",G1AG68,1025,"2916; 5401"
"Nalendra Monastery",G233,128,"6351; 6735; 1820; 1985; 4119; 4220; 4310; 10355; 10579; 11158; 12479; 12613; 13131; 13707; 13721; 13787; 13788; 13789; 13790; 13793; 13798; 13806"
"Namchen Drakkar",G00JR823,1227,8181
Namdroling,G4886,688,"8972; 10146; 11741"
"Namgyal Institute of Tibetology",G1TD52,1354,11741
Namgyel,G4249,892,"12828; 2339; 3085; 3107; 3307; 4141; 4259; 4314; 4469; 5871; 6065"
"Namgyel (Dharamsala)",NULL,1727,13884
"Namgyel Chode",G2KG2759,1596,"12479; 13790"
"Namgyel Ling",G1KR594,1341,"4358; 10699"
"Namkha Dzod",G360,1053,4115
"Namkyak Monastery",NULL,503,6635
"Namo Buddha",G2MS14671,1333,"7007; 8782"
"Namtseding Monastery",G2CN11075,1297,8571
Namtso,G2398,1272,"6037; 6668; 6671; 6681; 7673; 13165; 13233; 1659; 2584"
"Nangchen Gar",G2611,248,8181
Nangra,G1KR2455,1165,"2755; 2854; 2996"
Nangtseshar,NULL,904,3866
"Napu Monastery",G504,73,"11865; 11877"
"Naropa University",NULL,1442,"11231; 11385"
Nartang,G225,62,"8730; 10480; 10579; 10623; 10687; 13199; 4359; 5555; 5750; 5790; 5805; 6037; 6393; 6491; 6895; 2181; 2483; 2577; 2578; 2662; 2845; 2866; 3762; 3957; 4114; 4150; 4168; 4261"
Nateng,G4492,1368,10961
"Ne Chode",G2GS1268,1176,7083
"Nechen Pema Ritro",NULL,1647,"3627; 9612"
Nechung,G1KR817,893,"6065; 13628; 13725"
"Nedong Tsetsokpa",G2821,1196,"8964; 11285"
"Nedruk Lhakhang",G1019,1276,3194
"Nego Monastery",G3660,1676,9895
"Nekhar Monastery",G1AG62,1001,"3165; 3175"
Nenang,G194,331,"1659; 12839; 4358; 9634"
Nenying,G457,120,"8354; 10480; 2670"
"Neten Monastery",G1AG98,59,"2069; 8181; 13747"
Neuzur,G4593,291,2591
"Ney Monastery",G3046,1386,5820
"Ngagar Jangchub Ling",G1KR2454,474,"6099; 6670; 3296"
"Ngamring Chode ",G247,333,"2812; 2997; 3736; 4092; 4170; 8105; 10452; 10548; 10591; 5985; 6278; 6586"
"Ngangkyel Chode",G3473,944,13435
"Ngari Dratsang",G447,140,"7565; 9361; 11114"
"Ngawa Gomang",G3090,368,"9523; 2787; 2943; 4730"
"Ngedon Dongak Chokhor Ling",NULL,1352,9945
"Ngedongyi Chozhi Gonde",G1AG36,956,4166
"Ngor Ewaṃ Choden",G211,32,"1820; 1831; 1898; 1930; 1963; 2340; 2387; 2866; 3200; 3671; 4085; 4119; 4164; 4217; 4219; 4220; 4221; 4222; 4223; 4224; 4225; 4227; 4291; 4820; 7064; 7581; 7718; 11972; 12479; 12741; 12743; 12745; 13246; 13248; 13249; 13511; 13532; 13647; 13654; 13677; 13679; 13721; 13745; 13787; 13788; 13794; 13795; 13796; 13797; 13798; 9105; 9213; 9990; 10202; 10203; 10452; 10462; 10470; 10497; 10507; 10528; 10623; 10633; 10644; 10699; 10742; 10753; 10815"
"Ngulchu Hermitage",G223,295,"4402; 4631; 3153"
"Ngulra Monastery",G3232,362,7937
Norbulingkha,G4145,906,"5897; 7007; 2339; 2419; 3107; 3307; 3822; 4141; 4259; 4314; 12479; 13628; 13683; 13694"
"Nub Padmo De",G1TD37,1228,3141
"Nubzur Gon",G3971,525,10457
"Nyakla Gar",G19,1307,3770
"Nyamyo Jashong Monastery",G1AG63,1012,2340
"Nyang Tarpa Ling",G257,446,2845
"Nyangto Sertreng Monastery",NULL,986,6620
Nyarma,NULL,910,10199
"Nyarong Gojam Gon",G1602,1224,4125
"Nyarongsha School",NULL,1327,"13628; 13683; 13724"
"Nyedo Monastery",G3526,713,"6134; 6726"
Nyegon,G1858,1042,8861
"Nyel Drewule Gon",G48,538,10857
"Nyenchen Tanglha",G3419,1402,"6668; 6690; 13086; 13092; 13196; 13707; 13817; 1659"
Nyenlung,G3717,697,"8650; 8651; 9083"
"Nyenyo Jagoshong ",G265,276,"10452; 7370"
"Nyetang Drolma Lhakang",G4605,92,"5717; 6452; 2491; 2801; 3673; 3936; 3939"
"Nyetang Longdol Hermitage ",G2440,306,"3877; 11865"
"Nyetang Mokchok",G2437,1317,"12180; 3877"
"Nyima Changra",G2077,1051,"9622; 10093"
"Nyima Tang Monastery ",G3322,312,"9062; 6219"
"Nyimalung Monastery",G8LS12773,917,10482
Nyingma,NULL,5,"5122; 2780"
"Nyingma Institute",NULL,1664,10019
"Nyingma Kathok Buddhist Center",NULL,1728,13884
Nyingon,G516,826,"2992; 8584; 8596; 8603; 8616; 8617"
"Nyoshul Jonpalung Monastery",G3636,44,"8177; 9895; 9929; 12980"
Odantapuri,NULL,1331,"10280; 23"
"Old Ditsa",G1PD96118,212,"3866; 4077; 13176; 13177"
Ongsum,G1KR1977,1093,6353
"Orgyen Chö Dzong",NULL,1667,10019
"Orgyen Dorje Den",NULL,1737,13884
Oso,NULL,475,6099
"Pabongkha Hermitage ",G395,423,"6622; 8986; 9062; 3989; 12479"
"Padum Palace",NULL,1589,13743
"Pajoding ",G4718,415,"7815; 7874"
"Pakmo Chode",G2363,357,"4495; 8086; 8097; 2819"
"Palri Pema Od Ling",NULL,1738,13884
Palung,NULL,98,5858
"Palyul Retreat Center",NULL,1657,8972
"Pangdatsang Manor House",NULL,844,"12980; 13519; 13520; 13521; 13522; 13523; 13625; 13708"
Pangpuk,G3857,1342,4358
"Pangsa Monastery",G2064,959,3744
Pangshar,G2722,1627,13248
"Pari Tashi Choling ",NULL,346,5729
"Paro Lateng Monastery",NULL,384,8028
"Paro Taktsang",G2876,1145,"10019; 10311; 10373; 11385; 13086; 13119; 13121; 13648; 96"
"Parpu Monastery",G4614,151,"6159; 7636"
"Pasho Gon",G952,535,"4380; 5328; 6580; 4163; 9693; 10394"
"Patsang Gon Yungdrung Rabten Ling",G1KR1751,241,12096
"Pekar Choling",G2KR10,1201,13588
"Pel Nyenmo Ri Namgyel",NULL,455,"5897; 7945"
Pelbar,G73,814,"29; 2814"
"Pelge Samten Ling",G432,1170,4425
"Pelkhor Chode",G1511,102,"5805; 6856; 7348; 9213; 11285; 12521; 12553; 13063; 13863; 3152; 3736; 4168"
"Pelme Tekchen Evam Gatsel Ling ",G2601,247,8181
Pelpung,G36,472,"8126; 8181; 8507; 8825; 8892; 9047; 9622; 9990; 10018; 10355; 11385; 2541; 2640; 2730; 4228; 4291; 4358; 4691; 6499; 12180; 13230; 13659; 13686; 13692; 13707; 13721; 13747; 13837; 13838; 13839; 13840; 13841; 13860"
Pelri,G1586,1649,"3627; 9612"
"Pelri Tekchen Ling ",G665,253,"8964; 9469; 3627; 5457; 6668"
Pelteng,G344,124,3937
"Pelyul Monastery",G18,14,"2992; 4358; 8574; 8584; 8753; 8754; 8757; 8892; 8972; 9047; 9105; 9126; 9190; 9895; 10018; 11003; 11245; 11246; 11258; 11277; 11278; 11279; 13511; 13864; 4622; 4676; 7581; 7582; 7681"
"Pema Choling",NULL,1544,12839
"Pema Khyung Dzong",NULL,1541,"12839; 13686; 10019"
"Pema Ritro",G1PD76604,1436,"9895; 10617; 2541; 3436"
"Pema Shelpuk",G3624,1245,"4291; 8181; 8538; 8825; 13653; 13654"
"Pemaling Lake",NULL,1350,4358
Pemayangtse,G1PD110067,1353,"11741; 13648; 13687; 13812"
"Penyul Drosa",G1GS140235,1259,10480
"Pethub Stangey Choskhorling",NULL,1412,13652
"Petseling Jangchub Pelri Monastery ",G2AG31,371,"13121; 13123"
"Petub Khamsten",G142,1409,13652
Pewar,G1644,282,"13230; 4358"
Phuktal,NULL,1422,"6076; 7305; 13823"
Phyang,G217,701,"13738; 13821; 13824; 13825"
"Pokhang ",G2844,101,4168
"Pombora Khamtsen",G2455,1480,"13666; 5706; 5901"
"Pomda Sangngak Dechen Monastery",G1TD41,1273,"3778; 3789"
"Porong Pelmo Choding Monastery ",G1KR1648,560,13205
Potala,G222,905,"13628; 13652; 13683; 13707; 4358; 4380; 4469; 5652; 5871; 6009; 6065; 6874; 7007; 8538; 9361; 2180; 2339; 2419; 2787; 3107; 3152; 3307; 3866; 4141; 4259; 4282; 4309; 4314"
"Potala School",NULL,1557,"13628; 13683; 13701"
"Potima ",NULL,267,8103
Poto,G4595,224,5786
Puchung,G2CN11076,226,"5822; 6452"
"Pulung Rinchen Ling",G1KR1884,687,"10824; 2639; 13235; 13236"
"Punakha Dzong",G54,405,"13740; 13743; 7601; 7622; 7719; 7803; 7815"
"Pungpo Riwoche",G00AG01696,1336,2740
"Punkhang Manor House",G2CN10939,846,"13425; 7929"
"Puntsok Podrang",G232,939,"10613; 11883"
"Puntsok Samten Ling ",NULL,108,13064
Purbuchok,G156,294,"5479; 1586; 2329; 3008; 3414"
Rablo,NULL,359,4498
Rabten,G1642,1567,13707
"Ragya Ganden Tashi Jungne",G398,468,"13201; 5479; 2974; 3822"
Rahor,G3898,1110,"11741; 8754"
"Rakadrak Hermitage",G2510,321,"8986; 1586"
"Rakchab Sengri Dorje Yudzong",G3755,430,"8625; 8972"
Raknyak,G1KR2692,1002,13679
Ralong,G1PD110070,1529,13687
"Ralung Monastery",G3582,87,"11865; 11877; 11898; 11909; 11942; 11986; 13125; 13740; 13743; 2338; 2670; 2801; 3028; 3307; 3736; 3759; 3822; 4348; 4349; 4350; 4352; 8361; 8637; 10442; 10531; 10536; 10857; 11441"
"Ramoche ",G4552,899,"9383; 9935; 10811; 13693; 7162; 2812; 3182"
Rashel,G4103,1261,6470
Rashuk,G4932,205,8752
Rato,G4607,305,"9213; 10480; 2854; 2912; 3877"
"Rechung Puk",G2832,225,"1981; 6856; 9126"
"Reting Monastery",G74,327,"8108; 8571; 8986; 9083; 9126; 9254; 2327; 2591; 2598; 2638; 3307; 3822; 4267; 13654; 13707; 13805; 4358; 5805; 6452; 6526; 6874; 7083"
Richung,NULL,1644,"8455; 8456"
Ridrak,G1KR424,1403,12180
"Rigdzin Gatsel",NULL,1639,12981
"Rigdzin Gatsel Ling ",NULL,1671,"13843; 10019"
"Rigdzin Ling",NULL,1641,12981
"Rigdzin Rapel Ling",G3705,1004,9254
"Rigo Tashi Chodzong Castle ",G1TD15,1077,"11796; 12865; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559; 13562"
Rigyel,G3532,808,13118
"Rikhud Monastery",G3795,557,"6668; 10355"
Rinak,NULL,1692,13859
"Rinchen Drak",G3036,335,8105
"Rinchen Gang Labrang",G312,935,2491
"Rinchen Ling",G2061,135,2327
Rinding,NULL,1592,13745
"Ringu Monastery",G1686,1216,4358
"Rinpung Monastery",G4494,1362,10961
"Ripuk Hermitage",G4676,657,"4660; 7512; 2845"
"Riwo Dangchen",G3010,1400,8354
"Riwo Dechen",G399,334,"4150; 4265"
"Riwo Gegye Ganden Shedrubling",G3249,1191,7162
"Riwo Gepel",G4247,191,"6646; 3040; 12521"
"Riwo Jakang",NULL,1169,13167
"Riwoche Monastery",G70,218,"13067; 13068; 13069; 13070; 13071; 13072; 13141; 13686; 13749; 6489; 10019; 10083; 10315; 2069"
"Riwoche Yanggon",G4744,219,"13067; 13068; 13069; 13070; 13071; 13141"
Rizong,G231,1575,12403
"Roerich House",G1TD39,1312,"13687; 3866"
Rokam,G368,78,"4175; 13434; 6578"
"Rong Jamchen",G1KR1614,839,"12521; 3736; 10644"
"Rong Ngurmik",G2CN11074,183,2916
"Rongme Karmo Taktsang",G3625,1046,"4228; 4291; 12180; 8181"
"Rongwo Monastery",G163,374,"8861; 9254; 9753; 9873; 10957; 1564; 2469; 2521; 2948; 2974; 3296; 3889; 4524; 4665; 5436; 5490; 5897; 6045; 6185; 6493; 6634; 6729; 7170; 7172; 13201"
"Rongwo Tantric College",G8LS12302,941,6493
"Ru Gonsar",G4397,1521,13684
"Rudam Yangwen Sengdruk Puk",G4165,970,4659
Rumtek,G1PD110071,968,"11385; 11645; 13152; 13885"
"Sabzang Ganden",G307,122,"6257; 2387; 2801"
"Sadutshang Manor House",G1TD20,1092,"13545; 13546; 13549; 13805"
"Sakar Samdrub Ling",G4447,1188,"8825; 10699"
"Sakya Drakshar",NULL,272,1963
"Sakya Mendrong",G2KT9,1128,6801
"Sakya Monastery",G880,603,"5408; 5693; 6100; 6351; 6405; 7053; 7064; 7348; 7512; 7545; 7882; 1974; 2051; 2137; 2314; 2434; 2491; 2670; 2790; 2801; 2812; 2845; 2915; 2916; 2919; 2943; 2949; 3152; 3188; 3189; 3191; 3194; 3204; 3208; 3211; 3736; 3939; 4086; 4113; 4217; 4219; 4249; 4291; 4327; 8454; 8571; 9095; 9105; 10202; 10355; 10452; 10470; 10480; 10528; 10548; 10613; 10633; 10699; 10742; 10753; 10815; 11866; 11883; 11972; 12479; 12553; 12613; 13186; 13523; 13532; 13625; 13654; 13679; 13697; 13707; 13721; 13745; 13787; 13788"
"Sakya Monastery, Seattle",NULL,1572,"12479; 10019; 10355"
"Samding Monastery",G412,564,"8454; 3822; 4168; 13205; 13206; 13510"
"Samdrub Ling",NULL,193,"9923; 10497; 3006; 4223"
"Samling Monastery",G4392,591,6620
"Sampho Manor house",NULL,845,3107
Samstanling,NULL,1408,"12403; 13652"
"Samten Tse",NULL,1745,13885
"Samye Chimpu",G3528,951,"11741; 12980; 13654; 495; 2882; 3000; 4267; 4358; 4622; 5457; 9083; 9126; 9574; 10373"
"Samye Ling",NULL,1395,11231
"Sang Chokhor ",G55,418,"8397; 7874"
"Sang Ngak Tekchokling",G4795,515,9052
"Sangngak Choling",G46,1518,"12839; 13686"
"Sangngak Choling Sikkim",G1PD110069,1527,13687
"Sangngak Dechen Ling",NULL,451,7053
Sango,G1KR147,1112,8754
"Sangpu Neutok",G226,91,"8106; 8986; 9062; 9095; 9201; 9213; 9482; 9634; 9795; 10168; 10480; 10579; 10683; 4727; 5331; 5693; 5849; 6159; 6351; 6646; 6735; 7093; 1831; 2137; 2683; 2823; 2882; 2896; 2912; 2919; 3469; 3671; 3744; 3762; 3877; 3936; 3938; 3939; 4113; 4114; 4164; 4168; 4276; 13073; 13195; 13234"
"Sangsang Dungkar",NULL,486,7945
"Sani Gonpa",G1TD45,1305,"13740; 13743; 6076; 7442; 3152"
Sarnath,NULL,1606,3822
Sarwahai,G1PD76601,1645,"3627; 9612"
"Se Trabzang",G00AG01622,514,"1639; 3010; 13650; 7767"
"Sechang ",NULL,395,2788
"Segyu Dratsang",G397,573,3762
"Sekhar Gutok",G3429,15,"2662; 2665; 3178; 4354; 4358; 5511; 9126; 10355; 10878; 11385"
Sekharchung,"G1KR1569 ",618,"11307; 5408; 2812"
"Sekya Tashi Gepel Ling",G1846,296,4402
Semnyi,G4472,812,5436
"Sengchen Namdrak",NULL,1463,"8181; 13653; 13659"
"Sengchen Namdrak Monastery",NULL,1467,"13653; 13659"
"Sengge Shong Mago",G1KR2434,1044,8861
"Sengge Shong Yago",G1KR2433,1045,8861
Senmo,NULL,585,13221
"Sera (India)",NULL,1585,8156
"Sera Choding",G1TD38,572,"8986; 5317"
"Sera Je",G155,348,"4496; 4498; 4642; 5479; 5485; 6529; 6580; 7232; 7305; 8079; 8103; 9049; 9053; 9062; 10146; 2327; 2974; 3782; 3783; 3784; 3786; 3877; 4265; 4282; 13548"
"Sera Me",G237,349,"13171; 13666; 8097; 4489; 4497; 4500; 5706; 6978; 6979; 7182; 7565; 2419; 2755; 2819; 3134; 3712; 3730; 3989; 4278; 4279"
"Sera Monastery",G154,37,"1586; 1637; 1831; 2328; 2329; 2418; 2462; 2787; 2819; 2871; 2931; 2949; 2952; 3008; 3085; 3107; 3274; 3307; 3414; 3708; 3712; 3782; 3783; 3784; 3786; 3792; 3793; 3794; 3795; 3877; 3989; 4141; 4259; 4265; 4282; 4314; 8079; 8099; 8103; 8986; 9126; 9213; 9839; 9873; 10480; 11114; 12479; 12828; 13094; 13098; 13102; 13103; 13105; 13110; 13167; 13173; 13519; 13531; 13706; 4487; 5317; 5415; 5485; 5641; 5706; 5729; 5777; 5795; 5805; 5871; 5901; 5932; 5953; 6175; 6470; 6526; 6529; 6874; 6978; 7182; 7232; 7240"
"Sera Ngakpa Dratsang",G248,907,5795
"Sera Tekchen Chokhorling",G3988,1070,10083
"Sera Utse",NULL,322,1586
Serding,NULL,1153,6672
Serdokchen,G391,105,"6351; 2790; 9213; 9923; 10623; 10742; 12553; 13063; 13064"
Serjong,G515,1490,"13707; 4820"
