community_id,tbrc_id,community_name,tradition_id
565,G3703,Yama Tashikhyil,1
567,G523,Dartang Monastery,1
587,NULL,Drakkar Gepel Ling,1
621,G1807,Golok Getse,1
688,G4886,Namdroling,1
696,G1797,Tsimda Monastery,1
697,G3717,Nyenlung,1
699,G3994,Zhuchen Monastery,1
700,G4687,Simda Dzogchen Monastery,1
713,G3526,Nyedo Monastery,1
811,G4196,Khoting Lhakhang,1
816,NULL,Muktinath,1
822,G2036,Terdrom,1
826,G516,Nyingon,1
827,G2424,Chushur Tarpa Ling,1
828,G388,Layak Guru Lhakhang,1
841,G2508,Drakri Hermitage,1
863,G2812,Drak Yongdzong,1
867,NULL,Barkor Mani Lhakhang,1
869,G4379,Karchung Monastery,1
893,G1KR817,Nechung,1
917,G8LS12773,Nyimalung Monastery,1
928,G2CN11043,Zhitro Lhakhang,1
954,G3467,Dzaka,1
955,G1676,Tsashul,1
957,G3992,Dartsang Kelzang Monastery,1
970,G4165,Rudam Yangwen Sengdruk Puk,1
982,G1884,Tege ,1
1000,G2840,Zurlung Pelchen Lhakhang,1
1004,G3705,Rigdzin Rapel Ling,1
1010,G1634,Tsopu,1
1013,G3639,Garje,1
1014,NULL,Katok Drakdong Ritro,1
1015,NULL,Gyelrong Ritro,1
1016,G3747,Litang Nyingma Dratsang,1
1046,G3625,Rongme Karmo Taktsang,1
1050,NULL,Benchok Ritro,1
1056,G1673,Lek Gon,1
1066,G4166,Tharpaling,1
1070,G3988,Sera Tekchen Chokhorling,1
1071,G1KR2634,Bennak,1
1073,G2MS14672,Māratika,1
1095,G2JM240 ,Tosam Norbu Lhunpo,1
1096,G3466,Muksang,1
1097,G3736,Yulkhyong Monastery,1
1105,G3841,Shukgang Monastery,1
1106,G3835,Domang Monastery,1
1108,G3844,Dranggo,1
1109,G3837,Janggang,1
1110,G3898,Rahor,1
1111,G3833,Tsangme Sengge,1
1112,G1KR147,Sango,1
1113,G1KR151,Kuntsar,1
1120,G00JR3006,Buchu Lhakhang,1
1121,G2051,Katsel,1
1122,G2GS1265,Drampagyang,1
1141,G1AG92,Zhohong,1
1144,G1PD110068,Drakkar Tashiding,1
1145,G2876,Paro Taktsang,1
1165,G1KR2455,Nangra,1
1171,G3933,Dzagyel,1
1172,G3983,Yarlung Pemako,1
1173,G2JM237,Katok Shedra Norbu Lhunpo,1
1182,G519,Gemang Ritro,1
1184,G2829,Yarlung Sheldrak,1
1190,NULL,Khamarin Khiid,1
1211,NULL,Gojo Banak,1
1212,G3821,Dago Monastery,1
1213,G4169,Zingpa Takgo,1
1214,G4808,Trengpo,1
1217,G430,Chakhyi Lhakhang,1
1218,G1KR1455,Chenye Monastery,1
1224,G1602,Nyarong Gojam Gon,1
1226,G3919,Chodrak Gon,1
1243,G3810,Khangmar,1
1244,G1798,Khemar Monastery,1
1251,G26,Zangchen Monastery,1
1256,G00AG01619,Dungsam Riwo Tengyeling,1
1261,G4103,Rashel,1
1262,G4116,Belo Hermitage,1
1263,G4114,Gyelpak Monastery,1
1264,G4108,Kunub Monastery,1
1265,G339,Khyunggon Monastery,1
1271,G4166,Tarpeling,1
1277,G1588,Zhiwa Gon,1
1279,G574,Shabme Gomne,1
1284,G4154,Dzato Changmai Monastery,1
1303,G00AG01403,Gangri Tokar,1
1307,G19,Nyakla Gar,1
1308,G3CN219,Karchung Doring,1
1309,G1AG115,Shukchung,1
1313,G2CN10949,Dzonggo,1
1316,G3842,Khordong Monastery,1
1318,G1563,Zhichen Monastery,1
1320,G1KR159,Shukjung Monastery,1
1321,G4098,Baḥne Monastery ,1
