person_id,default_name,historical_period_name,historical_period_id
7601,Sonam Wozer,17th Century,65
13170,Tashi Wozer,17th Century,65
6548,Taktsang Lobzang Rabten,17th Century,65
6526,Ngawang Chokden,17th Century,65
6646,Jamyang Zhepai Dorje,17th Century,65
9761,Konchok Gyeltsen,17th Century,65
13650,Drubtob Pema Trinle,17th Century,65
6009,Depa Trinle Gyatso,17th Century,65
9190,Namcho Mingyur Dorje,17th Century,65
5805,Polhane Sonam Tobgye,17th Century,65
1981,Kyabdak Drubchok Wangpo,17th Century,65
8539,Gyelse Sonam Deutsen,17th Century,65
12264,Chogyel Mipam Trinle Rabten,17th Century,65
2328,Chokyi Gyelpo,17th Century,65
10580,Jamyang Tutob Wangchuk,17th Century,65
2330,Ngawang Chokyi Wangchuk,17th Century,65
6982,Ngawang Sanggye Pelzang,17th Century,65
4223,Ngawang Sonam Gyeltsen,17th Century,65
10633,Ngawang Sonam Wangchuk,17th Century,65
10591,Jamyang Amnye Zhab Ngawang Kunga Sonam,17th Century,65
6466,Konchok Chozang,17th Century,65
8631,Chopa Lugu,17th Century,65
2997,Tenzin Norbu,17th Century,65
7622,Tenzin Rabgye,17th Century,65
6586,Puntsok Namgyel,17th Century,65
10320,Karma Wangdzin,17th Century,65
7582,Pema Norbu,17th Century,65
13822,Geshe Mila Lobzang Tashi,17th Century,65
13837,Drubgyud Tulku,17th Century,65
13838,Jangchub Nyima,17th Century,65
4249,Kunga Tashi,17th Century,65
13690,Khangchenne Sonam Gyelpo,17th Century,65
9105,Dudul Dorje,17th Century,65
2712,Tāranātha,17th Century,65
6493,Ngawang Trinle Gyatso,17th Century,65
4487,Lobzang Chopel,17th Century,65
13855,Tenzin Nyida,17th Century,65
2992,Longsel Nyingpo,17th Century,65
5151,Orgyen Samten,17th Century,65
2720,Sonam Puntsok,17th Century,65
7581,Sanggye Tenpa,17th Century,65
6175,Khardo Zopa Gyatso,18th Century,69
3086,Lobzang Neten Tsondru,18th Century,69
10828,Namkha Tsewang Chokdrub,18th Century,69
2931,Drakpa Shedrub,18th Century,69
4727,Konchok Tenpai Gyeltsen,18th Century,69
2462,Gyelwa Gyatso,18th Century,69
2329,Ngawang Jampa,18th Century,69
3792,Pakpa Gelek Gyeltsen,18th Century,69
13103,Lobzang Chokle Namgyel,18th Century,69
10068,Ngedon Tendzin Zangpo,18th Century,69
10827,Pema Sangngak Tendzin,18th Century,69
13102,Lobzang Wangchuk,18th Century,69
4499,Lobzang Monlam,18th Century,69
4492,Gyeltsen Sengge,18th Century,69
4489,Lobzang Dargye,18th Century,69
4488,Dondrub Gyatso,18th Century,69
3171,Ngawang Tsepel,18th Century,69
3414,Lobzang Jampa,18th Century,69
4495,Samten Puntsok,18th Century,69
4496,Ngawang Chodrak,18th Century,69
4498,Lobzang Tenpa,18th Century,69
4500,Lobzang Khechok,18th Century,69
4501,Lobzang Tashi,18th Century,69
5932,Lobzang Gelek,18th Century,69
3074,Konchok Gyeltsen,18th Century,69
6505,Ngawang Tashi,18th Century,69
7719,Gyelse Kunga Gyeltsen,18th Century,69
7644,Tendzin Lekpai Dondrub,18th Century,69
13145,Tendzin Sizhi Namgyel,18th Century,69
3062,Ngawang Lobzang Tenpai Gyeltsen,18th Century,69
5164,Peljor Gyatso,18th Century,69
5889,Ngawang Tendzin,18th Century,69
7105,Ngawang Trinle,18th Century,69
6731,Ra Sonam Wanggyel,18th Century,69
6536,Jigme Rigpai Sengge,18th Century,69
6760,Rabten Gyatso,18th Century,69
4607,Konchok Dechen,18th Century,69
8184,Lobzang Chodar,18th Century,69
4720,Drakpa Gyeltsen,18th Century,69
3769,Konchok Sengge,18th Century,69
6025,Jigme Gyeltsen,18th Century,69
5910,Konchok Gyepai Lodro,18th Century,69
3080,Konchok Chopel,18th Century,69
2974,Shingza Paṇḍita Lobzang Dargye Gyatso,18th Century,69
13146,Orgyen Gelek Namgyel,18th Century,69
