community_id,lat,long,icon,map_priority_level_id,map_display_name,map_display_name_script
1411,34.106243,77.601904,,3,Central Institute of Buddhist Studies,དབུ་གཞུང་ནང་པའི་རིག་གནས་གཙུག་ལག་སློབ་གཉེར།
1412,47.920878,106.900769,,3,Pethub Stangey Choskhorling,དཔེ་ཐུབ་བསྟན་རྒྱས་ཆོས་འཁོར་གླིང་དགོན་པ།
1413,51.75843,107.20308,,3,Ivolginsky Datsan,དགའ་ལྡན་བརྐྲ་ཤིས་ཆོས་འཁོར།
1414,32.2977,78.012,,3,Key,སྐྱིད།
1415,31.693798,99.701493,,3,Bengen,བན་རྒན་དགོན།
1416,26.967033,88.274458,,3,Sonada,བསམ་གྲུབ་དར་རྒྱས་ཆོས་གླིང།
1417,34.541111,77.560278,,3,Diskit,བདེ་སྐྱིད།
1418,34.673927,77.555113,,3,Charasa,ལཆགས་ར་ས།
1419,34.775181,77.514915,,3,Ensa,དབེན་ས།
1421,33.519261,76.988219,,3,Stongdey,སྟོང་སྡེའི་དགོན་པ་དགའ་ལྡན་ལེགས་བཤད་གླིང།
1422,33.266249,77.182895,,3,Phugtal,ཕུག་དལ་དགོན།
1423,33.532911,76.905081,,3,Karsha,དཀར་ཤ་དགོན་པ།
1426,34.09412,102.63303,,3,Kirti,ཀིརྟི།
1428,36.116817,101.747344,,3,Achung Namdzong,ཨ་ཆུང་གནམ་རྫོང།
1429,29.46667,101.53333,,3,Gangkar Monastery,གངས་དཀར་སྒྲུབ་སྡེ།
1430,31.55556,99.10727,,3,Dagam Wangpuk,ཟླ་གམ་དབང་ཕུག།
1431,31.23333,101.51667,,3,Mahā Kyilung,མ་ཧཱ་སྐྱིད་ལུང།
1432,31.86911,102.46491,,3,Gyelrong Kachok,རྒྱལ་རོང་ཁཿ་མཆོག་དགོན།
1435,30.61667,101.4,,3,Lautang,ལའུ་ཐང།
1442,40.014237,-105.2692512,,3,Naropa University,
1443,46.8683584,-60.7521892,,3,Gampo Abbey,
1445,44.30415729,-72.06970231,,3,Karmé Chöling,
1447,40.0197518,-105.2781,,3,Boulder Shambhala Center,
1448,40.7353776,-105.5419823,,3,Shambhala Mountain Center,
1452,49.2176714,-122.9933815,,3,Kagyu Kunchab Chiling,
1453,48.73648731,-123.5052846,,3,Kunzang Dechen Osel Ling,ཀུན་བཟང་བདེ་ཆེན་འོད་གསལ་གླིང།
1454,40.7824583,-73.975223,,3,Kagyu Dzamling Kunchab,
1455,37.7728981,-122.4494078,,3,Kagyu Droden Kunchab,
1456,20.914748,-156.379111,,3,Karma Rimay O Sal Ling,
1457,45.5539912,-122.6116186,,3,Kagyu Changchub Choling,
1458,35.6354784,-106.0411725,,3,Kagyu Shenpen Kunchab,
1459,48.8288714,2.4149748,,3,Kagyu Dzong,
1460,46.7554572,4.1397283,,3,Kagyu Ling,ཌཤང་Kཨགྱུ་Lཨིང།
1461,41.6105047,-73.9397941,,3,Kagyu Thubten Chöling,
1462,32.0520169,76.69007,,3,Sherabling,ཤེས་རབ་གླིང།
1463,31.638161,98.492678,,3,Sengchen Namdrak,སེང་ཆེན་གནམ་བྲག།
1464,31.722109,98.911893,,3,Gagu Hermitage,གྭ་གུ་རི་ཁྲོད།
1465,29.3810174,91.5531475,,3,Drakmar Keutsang,བྲག་དམར་ཀེའུ་ཚང།
1466,31.835,98.53703,,3,Drinyendong,འབྲི་གཉན་གདོང།
1467,31.627639,98.539054,,3,Sengchen Namdrak Monastery,སེང་ཆེན་གནམ་བྲག་དགོན།
1468,31.653735,98.601086,,3,Tsarashab Hermitage,རྩྭ་ར་ཞབས།
1470,30.462202,78.067923,,3,Birla House,སྦིར་ལ་ཧའོ་སི།
1471,32.2436354,76.31521,,3,Chopra House,ཅོབ་ར་ཧའོ་སི།
1472,15.028783,75.005238,,3,Drepung,འབྲས་སྤུངས།
1473,26.7547,89.578727,,3,Buxa Chogar,ཐོས་བསམ་ཐར་འདོད་གླིང།
1474,14.992605,75.004226,,3,Tripa House,དགའ་ལྡ་ཁྲི་ཐོག་ཁང།
