biography_id,person_id,initial_approval_date,published_display_date
441,7937,2011-01-06 16:32:59,January 2011
444,9523,2011-01-12 12:51:33,January 2011
447,2237,2011-01-12 12:51:36,January 2011
448,2235,2011-01-12 12:51:37,January 2011
455,5317,2011-01-19 16:39:06,January 2011
475,6978,2011-02-01 0:00:00,February 2011
474,4282,2011-02-01 0:00:00,February 2011
460,7182,2011-02-01 0:00:00,February 2011
484,13122,2011-02-01 0:00:00,February 2011
462,6498,2011-02-01 0:00:00,February 2011
463,9059,2011-02-01 0:00:00,February 2011
464,9058,2011-02-01 0:00:00,February 2011
465,9057,2011-02-01 0:00:00,February 2011
466,9055,2011-02-01 0:00:00,February 2011
469,4206,2011-02-01 0:00:00,February 2011
470,4277,2011-02-01 0:00:00,February 2011
471,4278,2011-02-01 0:00:00,February 2011
472,4279,2011-02-01 0:00:00,February 2011
473,4280,2011-02-01 0:00:00,February 2011
482,13121,2011-02-01 0:00:00,February 2011
485,13123,2011-02-01 0:00:00,February 2011
488,13126,2011-02-01 0:00:00,February 2011
459,6979,2011-02-01 0:00:00,February 2011
461,11131,2011-02-03 14:30:42,February 2011
468,6738,2011-02-03 16:36:48,February 2011
467,4469,2011-02-04 16:48:26,February 2011
234,13084,2011-02-14 10:44:28,February 2011
476,13116,2011-02-17 17:37:43,February 2011
478,13118,2011-02-17 17:37:46,February 2011
479,10497,2011-02-18 13:53:00,February 2011
481,13120,2011-02-28 17:01:35,February 2011
483,10442,2011-02-28 17:01:39,February 2011
487,13125,2011-02-28 17:01:44,February 2011
489,13127,2011-02-28 17:01:46,February 2011
490,13128,2011-02-28 17:04:27,February 2011
500,2780,2011-03-01 0:00:00,March 2011
509,13132,2011-03-01 0:00:00,March 2011
545,13135,2011-03-01 0:00:00,March 2011
571,7719,2011-03-01 0:00:00,March 2011
572,10171,2011-03-01 0:00:00,March 2011
570,8177,2011-03-01 0:00:00,March 2011
494,2456,2011-03-01 0:00:00,March 2011
495,9056,2011-03-01 0:00:00,March 2011
501,7870,2011-03-01 0:00:00,March 2011
502,9049,2011-03-01 0:00:00,March 2011
503,9050,2011-03-01 0:00:00,March 2011
504,9051,2011-03-01 0:00:00,March 2011
505,9053,2011-03-01 0:00:00,March 2011
506,7743,2011-03-01 0:00:00,March 2011
492,2589,2011-03-01 0:00:00,March 2011
496,2510,2011-03-01 0:00:00,March 2011
491,13129,2011-03-02 17:12:52,March 2011
497,13131,2011-03-11 16:59:49,March 2011
498,2232,2011-03-15 14:46:54,March 2011
499,2781,2011-03-18 13:38:13,March 2011
493,10573,2011-03-18 13:48:54,March 2011
540,3000,2011-04-01 0:00:00,April 2011
543,6548,2011-04-01 0:00:00,April 2011
542,2180,2011-04-01 0:00:00,April 2011
520,7676,2011-04-01 0:00:00,April 2011
533,10571,2011-04-01 0:00:00,April 2011
518,3889,2011-04-01 0:00:00,April 2011
546,3977,2011-04-01 0:00:00,April 2011
544,9753,2011-04-01 0:00:00,April 2011
548,5436,2011-04-01 0:00:00,April 2011
557,6529,2011-04-01 0:00:00,April 2011
523,4379,2011-04-01 0:00:00,April 2011
573,8539,2011-04-01 0:00:00,April 2011
547,6493,2011-04-01 0:00:00,April 2011
508,2787,2011-04-01 0:00:00,April 2011
556,3086,2011-04-01 0:00:00,April 2011
507,4642,2011-04-01 0:00:00,April 2011
536,2776,2011-04-01 0:00:00,April 2011
574,8580,2011-04-01 0:00:00,April 2011
510,1871,2011-04-11 14:42:07,April 2011
511,7152,2011-04-13 15:53:55,April 2011
512,10654,2011-04-13 15:53:56,April 2011
513,10656,2011-04-13 15:53:57,April 2011
514,10649,2011-04-13 15:53:58,April 2011
515,10659,2011-04-13 15:53:59,April 2011
516,10658,2011-04-13 15:54:00,April 2011
517,10572,2011-04-13 15:54:01,April 2011
519,7918,2011-04-14 15:17:18,April 2011
521,8355,2011-04-14 15:17:20,April 2011
524,13133,2011-04-14 15:17:23,April 2011
525,8028,2011-04-14 16:42:42,April 2011
527,7895,2011-04-14 16:42:44,April 2011
528,8343,2011-04-14 16:46:06,April 2011
529,2949,2011-04-19 11:10:54,April 2011
522,7644,2011-04-19 13:42:15,April 2011
530,2788,2011-04-22 11:18:40,April 2011
531,4665,2011-04-22 11:18:41,April 2011
532,7736,2011-04-25 16:41:23,April 2011
534,13134,2011-04-25 16:41:25,April 2011
535,4028,2011-04-25 16:41:26,April 2011
526,4372,2011-04-27 16:56:04,April 2011
538,3074,2011-04-28 12:06:47,April 2011
539,5426,2011-04-28 12:06:48,April 2011
537,2436,2011-04-28 18:17:22,April 2011
541,6505,2011-04-29 10:22:14,April 2011
555,4727,2011-05-01 0:00:00,May 2011
549,7815,2011-05-23 12:27:44,May 2011
550,8782,2011-05-23 12:27:45,May 2011
551,7601,2011-05-23 17:10:35,May 2011
552,10372,2011-05-23 17:10:36,May 2011
553,10482,2011-05-23 17:10:38,May 2011
554,10311,2011-05-23 17:10:39,May 2011
576,2996,2011-06-01 0:00:00,June 2011
575,9201,2011-06-01 0:00:00,June 2011
142,2916,2011-06-03 12:19:52,June 2011
143,2919,2011-06-03 12:22:12,June 2011
558,13139,2011-06-09 9:51:57,June 2011
559,4309,2011-06-09 14:34:52,June 2011
560,10591,2011-06-14 13:41:35,June 2011
561,2926,2011-06-14 13:41:36,June 2011
562,5410,2011-06-14 13:41:37,June 2011
563,4524,2011-06-14 13:41:39,June 2011
564,6634,2011-06-14 13:41:40,June 2011
565,5490,2011-06-14 13:41:42,June 2011
566,2521,2011-06-14 13:41:43,June 2011
341,3274,2011-06-14 14:00:21,August 2010
350,4669,2011-06-16 11:58:28,August 2010
567,13140,2011-06-17 10:54:59,June 2011
569,9923,2011-06-21 12:17:00,June 2011
257,13086,2011-06-23 16:01:06,July 2020
146,2915,2011-06-23 16:22:40,June 2011
568,8571,2011-06-23 16:35:26,June 2011
577,4000,2011-06-30 12:32:41,June 2011
592,8549,2011-07-01 0:00:00,July 2011
353,6953,2011-07-05 10:58:16,August 2010
352,7093,2011-07-05 11:01:19,August 2010
336,29,2011-07-05 14:21:14,August 2010
343,2329,2011-07-05 14:21:14,August 2010
578,7064,2011-07-05 15:22:57,July 2011
580,6214,2011-07-06 16:26:58,July 2011
26,8574,2011-07-08 14:56:51,July 2011
581,5500,2011-07-11 11:34:42,July 2011
579,10892,2011-07-13 11:13:07,July 2011
582,10199,2011-07-26 18:12:48,July 2011
111,3139,2011-07-27 16:04:59,July 2011
583,2810,2011-07-27 16:25:58,July 2011
584,8562,2011-07-28 15:38:51,July 2011
585,8609,2011-07-28 15:38:53,July 2011
586,8610,2011-07-28 15:38:54,July 2011
587,8563,2011-07-29 16:44:04,July 2011
588,8575,2011-07-29 16:44:05,July 2011
