biography_id,person_id,published_display_date,updated_display_date,initial_approval_date
307,3795,July 2010,,2011-07-05 14:21:14
308,3794,July 2010,,2011-03-11 10:24:27
309,4219,July 2010,,2010-12-23 14:15:57
310,11618,July 2010,,2010-07-30 10:51:43
311,5137,July 2010,,2010-07-30 10:52:02
312,8868,August 2010,,2010-08-02 16:49:40
313,10528,August 2010,,2010-12-14 12:09:37
314,4220,August 2010,,2010-12-23 14:14:17
315,13095,July 2010,,2010-08-09 17:14:47
316,13097,July 2010,,2010-12-23 14:25:30
317,13094,July 2010,,2011-07-05 14:21:14
318,13098,July 2010,,2011-07-05 14:44:23
319,13099,July 2010,,2010-08-09 17:14:52
320,13100,July 2010,,2010-08-09 17:14:53
321,13101,July 2010,,2011-07-05 14:21:14
322,13096,July 2010,,2011-07-05 14:21:14
323,8116,August 2010,,2010-08-11 12:03:52
324,13102,August 2010,,2010-12-14 16:37:47
325,13103,August 2010,,2010-08-11 12:03:55
326,13104,August 2010,,2010-08-11 12:03:56
327,13105,September 2017,,2011-06-07 17:16:43
328,9750,August 2010,,2010-08-13 11:50:17
329,13106,August 2010,,2010-08-13 11:50:18
330,13107,August 2010,,2010-08-13 11:50:19
331,9095,August 2010,,2010-12-03 11:51:33
332,13108,August 2010,,2010-08-27 15:59:57
333,13109,August 2010,,2010-08-27 15:59:58
334,13110,August 2010,,2010-08-27 15:59:59
335,4285,August 2010,,2010-08-27 16:05:11
336,29,August 2010,,2011-07-05 14:21:14
337,2598,September 2010,,2010-09-03 15:07:38
338,2591,September 2010,,2010-09-03 11:25:10
339,2638,September 2010,,2010-09-03 13:42:29
340,2593,September 2010,,2010-09-21 17:15:17
341,3274,August 2010,,2011-06-14 14:00:21
342,2592,August 2010,,2010-12-23 14:19:40
343,2329,August 2010,,2011-07-05 14:21:14
344,4631,August 2010,,2010-09-13 16:27:14
345,3414,September 2010,,2011-06-14 14:18:07
346,6726,September 2010,,2011-07-05 15:02:34
347,5817,September 2010,,2010-09-21 17:23:51
348,4402,August 2010,,2010-10-13 17:04:25
349,13111,August 2010,,2010-09-17 14:56:59
350,4669,August 2010,,2011-06-16 11:58:28
351,10794,August 2010,,2010-12-03 11:58:07
352,7093,August 2010,,2011-07-05 11:01:19
353,6953,August 2010,,2011-07-05 10:58:16
354,5818,September 2010,,2010-09-21 17:18:35
355,5819,September 2010,,2010-09-21 17:16:27
356,2912,September 2010,,2010-12-03 12:19:20
357,4535,September 2010,,2011-07-05 14:21:14
358,3877,September 2010,,2011-07-05 15:00:03
359,7622,September 2010,,2010-12-29 9:33:59
360,11572,September 2010,,2010-09-23 16:46:19
361,7240,September 2010,,2011-07-05 14:21:14
362,13112,August 2010,,2010-10-13 17:06:33
363,6286,September 2010,,2010-12-03 13:57:47
364,6219,September 2010,,2011-07-05 14:21:14
365,6910,September 2010,,2011-07-05 14:21:14
366,6997,September 2010,,2011-07-05 14:21:14
367,1637,September 2010,,2011-07-05 14:21:14
368,5480,September 2010,,2011-07-05 14:21:14
369,6175,October 2010,,2011-07-05 15:05:06
370,8099,September 2010,,2011-07-05 14:21:14
371,7230,September 2010,,2011-07-05 14:21:14
372,3743,September 2010,,2011-07-05 14:21:14
