Person ID,Historical Period ID,Historical Period Name,Person Name
3182,7,12th Century,Zhang Yudrakpa Tsondru Drakpa
3188,9,14th Century,Tawen Kunga Rinchen
3189,9,14th Century,Namkha Lekpai Gyeltsen
3191,9,14th Century,Jamyang Donyo Gyeltsen
3194,8,13th Century,Dharmapālarakṣita
3200,10,15th Century,Konchok Pelwa
3200,11,16th Century,Konchok Pelwa
3204,8,13th Century,Zangpo Pel
3204,9,14th Century,Zangpo Pel
3208,10,15th Century,Jamyang Namkha Gyeltsen
3211,10,15th Century,Dakchen Sherab Gyeltsen
3225,12,17th Century,Ngawang Chokyi Gyatso
3225,13,18th Century,Ngawang Chokyi Gyatso
3266,9,14th Century,Barawa Gyeltsen Pelzang
3274,14,19th Century,Jampa Gyatso
3296,14,19th Century,Gendun Tendzin Gyatso
3296,15,20th Century,Gendun Tendzin Gyatso
3307,14,19th Century,Tubten Gyatso
3307,15,20th Century,Tubten Gyatso
3414,13,18th Century,Lobzang Jampa
3414,14,19th Century,Lobzang Jampa
3469,7,12th Century,Marpa Sherab Yeshe
3485,15,20th Century,Do Dasel Wangmo
3627,14,19th Century,Khaying Dolma
3660,9,14th Century,Rinchen Chok
3671,9,14th Century,Nyakpuwa Sonam Zangpo
3671,10,15th Century,Nyakpuwa Sonam Zangpo
3673,9,14th Century,Nyawon Kunga Pel
3708,11,16th Century,Yonten Gyatso
3712,10,15th Century,Dawa Gyeltsen
3712,11,16th Century,Dawa Gyeltsen
3730,14,19th Century,Kelzang Jamyang Gyatso
3733,14,19th Century,Tubten Jigme Kelzang
3734,14,19th Century,Lobzang Tenpai Nyima
3735,14,19th Century,Lobzang Jigme Tsultrim Gyatso
3735,15,20th Century,Lobzang Jigme Tsultrim Gyatso
3736,9,14th Century,Vanaratna
3736,10,15th Century,Vanaratna
3738,15,20th Century,Lobzang Tubten Lungtok Shedrub Gyatso
3739,15,20th Century,Lobzang Jangchub Tendzin Gyatso
3743,11,16th Century,Ngawang Chodrak
3744,10,15th Century,Jampel Gyatso
3758,12,17th Century,Ngawang Lobzang Choden
3758,13,18th Century,Ngawang Lobzang Choden
3759,8,13th Century,Gotsangpa Gonpo Dorje
3762,9,14th Century,Sherab Sengge
3762,10,15th Century,Sherab Sengge
3769,13,18th Century,Konchok Sengge
3769,14,19th Century,Konchok Sengge
3770,15,20th Century,Tamdrin Lhamo
3778,11,16th Century,Tongwa Donden
3782,13,18th Century,Jigme Tenpai Gyatso
3783,13,18th Century,Jigme Tenpai Gonpo
3784,14,19th Century,Lobzang Jigme Pelden Tenpai Nyima
3785,14,19th Century,Ngawang Lobzang Jigme Tenpai Gyeltsen
3786,15,20th Century,Lobzang Tubten Mipam Tsultrim Gyeltsen
3788,10,15th Century,Pelden Chokdrub
3788,11,16th Century,Pelden Chokdrub
3789,11,16th Century,Sanggye Jungne
3789,12,17th Century,Sanggye Jungne
3791,12,17th Century,Zhiwa Zangpo
3792,13,18th Century,Pakpa Gelek Gyeltsen
3793,14,19th Century,Lobzang Dondrub Gyatso
3794,14,19th Century,Ngawang Jigme Khenrab Tendzin Trinle
3794,15,20th Century,Ngawang Jigme Khenrab Tendzin Trinle
3795,15,20th Century,Ngawang Trinle Tenzin Khyenrab
3822,14,19th Century,Tubten Chokyi Nyima
3822,15,20th Century,Tubten Chokyi Nyima
3866,15,20th Century,Gendun Chopel
3877,14,19th Century,Longdol Lama Ngawang Lobzang
3881,7,12th Century,Kharakpa Dulwa O
3883,13,18th Century,Pema Rangdol
3889,15,20th Century,Jigme Damcho Gyatso
3890,7,12th Century,Gurawa Tsultrim Dorje
3890,8,13th Century,Gurawa Tsultrim Dorje
3902,8,13th Century,Chung Dorje Drakpa
3903,8,13th Century,Tokkhawa Rinchen Sengge
3904,8,13th Century,Tsamchepa Drakpa Sonam
3906,8,13th Century,Dorje Rinchen
3906,9,14th Century,Dorje Rinchen
3907,8,13th Century,Dorje Gyelpo
3907,9,14th Century,Dorje Gyelpo
3936,8,13th Century,Drigung Lotsāwa Maṇikaśrījñāna
3937,9,14th Century,Zhangton Gyawo Sonam Drakpa
3938,9,14th Century,Tangpoche Kunga Bum
3939,9,14th Century,Menchukhawa Lodro Gyeltsen
3940,9,14th Century,Rinchen Tsultrim
3955,15,20th Century,Khyenrab Norbu
3957,6,11th Century,Droton Dutsi Drakpa
3957,7,12th Century,Droton Dutsi Drakpa
3977,14,19th Century,Giteng Lobzang Pelden
3977,15,20th Century,Giteng Lobzang Pelden
3989,14,19th Century,Dechen Nyingpo
3989,15,20th Century,Dechen Nyingpo
4000,14,19th Century,Pema Vajra Jampel Tenpai Ngodrub
4000,15,20th Century,Pema Vajra Jampel Tenpai Ngodrub
4002,11,16th Century,Gendun Tashi
4028,10,15th Century,Yeshe Gyeltsen
4043,8,13th Century,Kumārarāja
4043,9,14th Century,Kumārarāja
4077,14,19th Century,Lobzang Jangchub Tenpei Dronme
