tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
1,P9767,shes rab rgyal mtshan,shes rab rgyal mtshan,shes rab rgyal mtshan,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,gyer sgom gnyis pa,bo-x-ewts
5,P00AG02484,Gyergom Tsultrim Sengge,gyer sgom tshul khrims seng+ge,Gyergom Nyipa,en
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,mdo khams sde dge rgyal rgan ma,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,tshe dbang rig 'dzin,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,jigs bral dpal ldan pa'i nyi ma 'chi med rtag pa'i rdo rje srid zhi'i dbang phyig don thams cad yongs su grub pa'i sde,bo-x-ewts
8,P00AG0401,Pelden Chime Takpai Dorje,dpal ldan 'chi med rtag pa'i rdo rje,Dokham Dege Gyelgenma,en
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,mandarava,en
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,man+DA ra ba,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,ma gcig grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,grub pa'i rgyal mo,bo-x-ewts
9,P00AG0428,Mandāravā,lha lcam man+dA ra bA,Machik Drubpai Gyelmo,en
14,P00EGS1016297,blo gros rgyal mtshan,blo gros rgyal mtshan,blo gros rgyal mtshan,bo-x-ewts
19,P00EGS1016617,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,bo-x-ewts
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Rinchen Jungne Shiwa,en
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Ratnākara,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śāntipā,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śāntipa,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,Śānti,sa-x-iast
23,P00EGS1016642,Ratnākaraśānti,rin chen 'byung gnas zhi ba,dkon mchog 'byung gnas,bo-x-ewts
27,P00EGS1016698,bsod nams dbang rgyal,bsod nams dbang rgyal,bsod nams dbang rgyal,bo-x-ewts
29,P00EGS1016721,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,rgya ra 08,bo-x-ewts
29,P00EGS1016721,"The Eighth Gyara Tulku, Lobzang Tendzin Chokyi Wangchuk",rgya ra sprul sku 08 blo bzang bstan 'dzin chos kyi dbang phyug,Gyara 08,en
37,P00EGS1016930,bkra shis rnam rgyal,bkra shis rnam rgyal,bkra shis rnam rgyal,bo-x-ewts
46,P00EGS1016970,blo bzang snyan grags,blo bzang snyan grags,blo bzang snyan grags,bo-x-ewts
50,P00EGS1017029,tshe dbang rig 'dzin,tshe dbang rig 'dzin,tshe dbang rig 'dzin,bo-x-ewts
51,P00EGS1017036,zam gdong rin po che blo bzang bstan 'dzin,zam gdong rin po che blo bzang bstan 'dzin,blo bzang bstan 'dzin,bo-x-ewts
55,P00EGS1017062,blo bzang dar rgyas,blo bzang dar rgyas,blo bzang dar rgyas,bo-x-ewts
61,P00EGS1017135,Dorje Sherab,rdo rje shes rab,Chennga Dorje Sherab,en
61,P00EGS1017135,Dorje Sherab,rdo rje shes rab,spyan snga rdo rje shes rab,bo-x-ewts
63,P00EGS1017158,rin chen rdo rje,rin chen rdo rje,rin chen rdo rje,bo-x-ewts
82,P00EGS1017418,dkon mchog bstan 'dzin,dkon mchog bstan 'dzin,dkon mchog bstan 'dzin,bo-x-ewts
84,P00EGS1017608,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,Gyelwa Jangchub,en
84,P00EGS1017608,Lasum Gyelwa Jangchub,la gsum rgyal ba byang chub,rgyal ba byang chub,bo-x-ewts
86,P00EGS1017610,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,Konchok Jungne,en
86,P00EGS1017610,Langdro Konchok Jungne,lang gro dkon mchog 'byung gnas,dkon mchog 'byung gnas,bo-x-ewts
90,P00EGS1017614,bshad sgrub bstan pa'i nyi ma,bshad sgrub bstan pa'i nyi ma,bshad sgrub bstan pa'i nyi ma,bo-x-ewts
96,P00EGS1017620,Lang Pelgyi Sengge,rlangs dpal gyi seng+ge,Pelgyi Sengge,en
96,P00EGS1017620,Lang Pelgyi Sengge,rlangs dpal gyi seng+ge,dpal gyi seng+ge,bo-x-ewts
102,P00EGS1017626,bsod nams rin chen,bsod nams rin chen,bsod nams rin chen,bo-x-ewts
134,P00EGS1017970,bsod phun,bsod phun,bsod nams phun tshogs,bo-x-ewts
135,P00EGS1017972,dge 'dun rgyal mtshan,dge 'dun rgyal mtshan,dge 'dun rgyal mtshan,bo-x-ewts
150,P00JR2402,sangs rgyas rdo rje,sangs rgyas rdo rje,sangs rgyas rdo rje,bo-x-ewts
153,P00JR2405,byang chub rgyal mtshan,byang chub rgyal mtshan,byang chub rgyal mtshan,bo-x-ewts
156,P00JR689,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,bo-x-ewts
156,P00JR689,mdo sngags bstan 'dzin,mdo sngags bstan 'dzin,jam dbyangs rdo rje,bo-x-ewts
170,P00KG011,jam dbyangs blo gros,jam dbyangs blo gros,jam dbyangs blo gros,bo-x-ewts
178,P00KG0217,grags pa rgyal mtshan,grags pa rgyal mtshan,grags pa rgyal mtshan,bo-x-ewts
188,P00KG02742,blo bzang don grub,blo bzang don grub,blo bzang don grub,bo-x-ewts
193,P00KG02780,zla ba rgyal mtshan,zla ba rgyal mtshan,zla ba rgyal mtshan,bo-x-ewts
202,P00KG02849,tshul khrims rgya mtsho,tshul khrims rgya mtsho,tshul khrims rgya mtsho,bo-x-ewts
207,P00KG03239,bsod nams grags pa,bsod nams grags pa,bsod nams grags pa,bo-x-ewts
214,P00KG03689,rin chen don 'grub,rin chen don 'grub,rin chen don grub,bo-x-ewts
218,P00KG03719,khrag 'thung rdo rje,khrag 'thung rdo rje,tshul khrims rgyal mtshan,bo-x-ewts
219,P00KG03790,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,bo-x-ewts
237,P00KG04063,blo bzang sbyin pa,blo bzang sbyin pa,blo bzang sbyin pa,bo-x-ewts
246,P00KG07596,ngag dbang thub bstan,ngag dbang thub bstan,ngag dbang thub bstan,bo-x-ewts
247,P00KG07601,tshe ring don grub,tshe ring don grub,tshe ring don grub,bo-x-ewts
251,P00KG07607,chos dbyings rang grol,chos dbyings rang grol,chos dbyings rang grol,bo-x-ewts
251,P00KG07607,chos dbyings rang grol,chos dbyings rang grol,pad+ma rdo rje,bo-x-ewts
263,P00KG07871,pad+ma dbang rgyal,pad+ma dbang rgyal,pad+ma dbang rgyal,bo-x-ewts
266,P00KG08454,ngag dbang sbyin pa,ngag dbang sbyin pa,mgon po don grub,bo-x-ewts
276,P00KG09732,"The Seventeenth Ruler of Eyul, Lhagyari Namgyel Gyatso",e lha rgya ri khri chen 17 rnam rgyal rgya mtsho,e lha rgya ri'i khri thog 17 rnam rgyal rgya mtsho,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,sna nam rdo rje bdud 'joms,rdo rje bdud 'joms,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,sna nam rdo rje bdud 'joms,rba khri gzigs,bo-x-ewts
303,P4CZ10564,Nanam Dorje Dudjom,sna nam rdo rje bdud 'joms,Ba Trishi,en
303,P4CZ10564,Nanam Dorje Dudjom,sna nam rdo rje bdud 'joms,Dorje Dudjom,en
352,P0RK1057,dbu ma pa dpal ldan rin chen,dbu ma pa dpal ldan rin chen,dbu ma pa,bo-x-ewts
388,P0RK1100,rwa shes rab rgyal mtshan,rwa shes rab rgyal mtshan,shes rab rgyal mtshan,bo-x-ewts
490,P0RK1217,Kharchen Pelgyi Wangchuk,mkhar chen dpal gyi dbang   phyug,dpal gyi dbang phyug,bo-x-ewts
490,P0RK1217,Kharchen Pelgyi Wangchuk,mkhar chen dpal gyi dbang   phyug,Pelgyi Wangchuk,en
494,P0RK1221,Dangma Lhungyel,ldang ma lhun rgyal,ldang ma lhun gyi rgyal mtshan,bo-x-ewts
494,P0RK1221,Dangma Lhungyel,ldang ma lhun rgyal,Dangma Lhungyi Gyeltsen,en
495,P0RK1222,Chetsun Sengge Wangchuk,lce btsun seng ge dbang phyug,seng ge dbang phyug,bo-x-ewts
495,P0RK1222,Chetsun Sengge Wangchuk,lce btsun seng ge dbang phyug,Sengge Wangchuk,en
526,P0RK1257,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bo-x-ewts
567,P0RK1305,rin chen dpal,rin chen dpal,rin chen dpal,bo-x-ewts
568,P0RK1306,grags pa rgyal mtshan,grags pa rgyal mtshan,grags pa rgyal mtshan,bo-x-ewts
569,P0RK1307,kun dga' bzang po,kun dga' bzang po,kun dga' bzang po,bo-x-ewts
571,P0RK1309,dpal gyi rdo rje,dpal gyi rdo rje,dpal gyi rdo rje,bo-x-ewts
578,P0RK1316,mkhan chen dkon mchog tshul   khrims,mkhan chen dkon mchog tshul   khrims,mkhan chen dkon mchog tshul   khrims,bo-x-ewts
581,P0RK1319,gnyen po ba slob dpon kun dga'   rgya mtsho,gnyen po ba slob dpon kun dga'   rgya mtsho,kun dga' rgya mtsho,bo-x-ewts
588,P0RK133,paNDi ta ratna shri dznya na   (paNDita ratnashrIjnyAna?),paNDi ta ratna shri dznya na   (paNDita ratnashrIjnyAna?),ratna shrI,en
620,P0RK1366,Damcho Lingpa,dam chos gling pa,rje dam chos gling pa,bo-x-ewts
620,P0RK1366,Damcho Lingpa,dam chos gling pa,Je Damcho Lingpa ,en
620,P0RK1366,Damcho Lingpa,dam chos gling pa,Chennga Gampopa,en
620,P0RK1366,Damcho Lingpa,dam chos gling pa,spyan snga sgam po,bo-x-ewts
620,P0RK1366,Damcho Lingpa,dam chos gling pa,dwags po pa,bo-x-ewts
620,P0RK1366,Damcho Lingpa,dam chos gling pa,Dakpopa,en
647,P0RK1394,shrI manydzu bha dra (shrI   manyjubhadra),shrI manydzu bha dra (shrI   manyjubhadra),jam dpal bzang po,bo-x-ewts
670,P0RK1422,chos kyi blo gros,chos kyi blo gros,chos kyi blo gros,bo-x-ewts
726,P0RK1485,Paṇchen Namkha Pelzang,paN chen nam mkha' dpal bzang,nam mkha' dpal bzang,bo-x-ewts
726,P0RK1485,Paṇchen Namkha Pelzang,paN chen nam mkha' dpal bzang,Namkha Pelzang,en
738,P0RK1505,rdo rje tshul khrims,rdo rje tshul khrims,rdo rje tshul khrims,bo-x-ewts
745,P0RK1511,rdo rje sra brtan,rdo rje sra brtan,rdo rje sra brtan,bo-x-ewts
770,P4CZ15211,dharma ba dzra,dharma ba dzra,Dharmavajra,en
782,P0RK1550,dbang phyug brtson 'grus,dbang phyug brtson 'grus,dbang phyug brtson 'grus,bo-x-ewts
797,P0RK1565,dpal chos kyi grags pa,dpal chos kyi grags pa,dpal chos kyi grags pa,bo-x-ewts
930,P0RK1743,rin chen dpal,rin chen dpal,rin chen dpal,bo-x-ewts
939,P0RK1758,blo gros grags,blo gros grags,blo gros grags,bo-x-ewts
946,P0RK1767,dkon mchog 'byung gnas,dkon mchog 'byung gnas,dkon mchog 'byung gnas,bo-x-ewts
964,P0RK1785,sangs rgyas rin chen,sangs rgyas rin chen,sangs rgyas rin chen,bo-x-ewts
967,P0RK1788,rdo rje dpal,rdo rje dpal,rdo rje dpal,bo-x-ewts
970,P0RK1790,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,bo-x-ewts
983,P4CZ15358,sangs rgyas ye shes zhabs,sangs rgyas ye shes zhabs,Buddhajananapada,sa-x-iast
983,P4CZ15358,sangs rgyas ye shes zhabs,sangs rgyas ye shes zhabs,sangs rgyas ye shes,bo-x-ewts
983,P4CZ15358,sangs rgyas ye shes zhabs,sangs rgyas ye shes zhabs,ye shes zhabs,bo-x-ewts
984,P4CZ15260,mar me mdzad bzang po,mar me mdzad bzang po,Dīpaṃkarabhadra,sa-x-iast
984,P4CZ15260,mar me mdzad bzang po,mar me mdzad bzang po,mar me mdzad,bo-x-ewts
995,P4CZ15173,chos 'khor lo tsA ba 'jam dpal ye shes,chos 'khor lo tsA ba 'jam dpal ye shes,lo chen many+dzu shrI dz+nyA na,bo-x-ewts
995,P4CZ15173,chos 'khor lo tsA ba 'jam dpal ye shes,chos 'khor lo tsA ba 'jam dpal ye shes,stag tshang lo tsA ba 'jam dpal ye shes,bo-x-ewts
1013,P4CZ15454,shAkya bshes gnyen,shAkya bshes gnyen,jam dpal zhal mthong shAkya mi tra,bo-x-ewts
1030,P4CZ15179,zhi ba bzang po,zhi ba bzang po,Śāntibhadra,sa-x-iast
1030,P4CZ15179,zhi ba bzang po,zhi ba bzang po,nag po zhi ba bzang po,bo-x-ewts
1035,P0RK28,Khenchen Tashi Tsultrim,mkhan chen bkra shis tshul,Khenchen Tashi Tsul,en
1040,P4CZ10555,slob dpon yan lag med pa'i rdo rje,slob dpon yan lag med pa'i rdo rje,Anaṅgavajra,bo-x-ewts
1048,P4CZ10516,sangs rgyas bskyangs,sangs rgyas bskyangs,Buddhapālita,sa-x-iast
1049,P4CZ15237,legs ldan 'byed,legs ldan 'byed,Bhāvaviveka,sa-x-iast
1061,P0RK322,kun dga' rgyal mtshan,kun dga' rgyal mtshan,kun dga' rgyal mtshan,bo-x-ewts
1097,P0RK372,shes rab bla ma,shes rab bla ma,shes rab bla ma,bo-x-ewts
1103,P0RK379,rin chen mgon,rin chen mgon,rin chen mgon,bo-x-ewts
1105,P0RK381,dkon mchog bzang po,dkon mchog bzang po,dkon mchog bzang po,bo-x-ewts
1108,P7743,Namkhai Nyingpo,nam mkha'i snying po,gnub nam mkha' snying po,bo-x-ewts
1108,P7743,Namkhai Nyingpo,nam mkha'i snying po,Nub Namkhai Nyingpo,en
1109,P0RK385,nam mkha' rgyal mtshan,nam mkha' rgyal mtshan,nam mkha' rgyal mtshan,bo-x-ewts
1140,P0RK435,dar ma grags,dar ma grags,dar ma grags,bo-x-ewts
1145,P0RK441,dul 'dzin,dul 'dzin,dul 'dzin,bo-x-ewts
1163,P4CZ15075,dge ba'i mgon po,dge ba'i mgon po,Kushala,en
1211,P0RK544,bla ma rin chen dpal bzang,bla ma rin chen dpal bzang,rin chen dpal,bo-x-ewts
1216,P0RK550,ngag dbang grags pa,ngag dbang grags pa,ngag dbang grags pa,bo-x-ewts
1222,P0RK569,dga' ldan pa bkra shis dpal,dga' ldan pa bkra shis dpal,bkra shis dpal,bo-x-ewts
1229,P4CZ15370,ma gcig grub pa'i rgyal mo,ma gcig grub pa'i rgyal mo,grub pa'i rgyal mo,bo-x-ewts
1274,P0RK653,ratna shrI,ratna shrI,ratna shrI,en
1291,P0RK689,chos lung pa bsod nams rin   chen,chos lung pa bsod nams rin   chen,bsod nams rin chen,bo-x-ewts
1335,P0RK743,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,bo-x-ewts
1344,P0RK752,kun dga' blo gros,kun dga' blo gros,kun dga' blo gros,bo-x-ewts
1356,P0RK771,bsod nams 'od zer,bsod nams 'od zer,bsod nams 'od zer,bo-x-ewts
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,Khon Lui Wangpo Sungwa,en
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,nAgendra rakSita,bo-x-ewts
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,klu'i dbang po bsrung ba,bo-x-ewts
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,khon klu'i dbang po bsrung ba,bo-x-ewts
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,Lui Wangpo Sungwa,en
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,Nāgandra Rakṣita,sa-x-iast
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,Khon Nāgabhodi,en
1370,P8218,Khon Lui Wangpo,khon klu'i dbang po,lo tsA ba bande klu'i dbang po,bo-x-ewts
1375,P0RK796,ye shes bla ma,ye shes bla ma,ye shes bla ma,bo-x-ewts
1411,P0RK844,rin chen dpal,rin chen dpal,rin chen dpal,bo-x-ewts
1436,P0RK872,tshul khrims rin chen,tshul khrims rin chen,tshul khrims rin chen,bo-x-ewts
1438,P0RK874,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,gzhon nu rgyal mtshan,bo-x-ewts
1450,P0RK888,chos grags,chos grags,chos kyi grags pa,bo-x-ewts
1474,P0RK91,bu lung pa kun dga' rdo rje,bu lung pa kun dga' rdo rje,kun dga' rdo rje,bo-x-ewts
1486,P0RK923,bkra shis seng ge,bkra shis seng ge,bkra shis seng ge,bo-x-ewts
1489,P0RK933,sprul sku jo 'bum,sprul sku jo 'bum,sprul sku jo 'bum,bo-x-ewts
1547,P10014,kun dga' rdo rje,kun dga' rdo rje,kun dga' rdo rje,bo-x-ewts
1553,P1002,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,dkon mchog rgyal mtshan,bo-x-ewts
1559,P10025,mchims zhang btsun,mchims zhang btsun,zhang btsun,bo-x-ewts
1561,P10027,brtson 'grus seng+ge,brtson 'grus seng+ge,brtson 'grus seng+ge,bo-x-ewts
1564,P1003,Samten Gyatso,bsam gtan rgya mtsho,Yungok Maṇipa Samten Gyatso,en
1564,P1003,Samten Gyatso,bsam gtan rgya mtsho,g.yu rngog ma Ni pa bsam gtan rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,bsam gtan rgya mtsho,rong po mkhan rabs 03 bsam gtan rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,bsam gtan rgya mtsho,yi ngogs 01 bsam gtan rgya mtsho,bo-x-ewts
1564,P1003,Samten Gyatso,bsam gtan rgya mtsho,First Yingok Samten Gyatso,en
1570,P10035,chos kyi grags pa,chos kyi grags pa,chos kyi grags pa,bo-x-ewts
1571,P10036,blo gros 'phel,blo gros 'phel,rig pa'i ral gri,bo-x-ewts
1575,P1004,"The Third Tongkhor, Gyelwa Gyatso",stong 'khor 03 rgyal ba rgya mtsho,stong 'khor 03 rgyal ba rgya mtsho,bo-x-ewts
1577,P10041,dar ma tshul khrims,dar ma tshul khrims,dar ma tshul khrims,bo-x-ewts
1586,P1005,Drubkhang Gelek Gyatso,sgrub khang dge legs rgya mtsho,dge legs rgya mtsho,bo-x-ewts
1586,P1005,Drubkhang Gelek Gyatso,sgrub khang dge legs rgya mtsho,Migza,en
1586,P1005,Drubkhang Gelek Gyatso,sgrub khang dge legs rgya mtsho,dmig sa,bo-x-ewts
1586,P1005,Drubkhang Gelek Gyatso,sgrub khang dge legs rgya mtsho,Gelek Gyatso,en
1595,P10058,tshe ring don grub,tshe ring don grub,tshe ring don grub,bo-x-ewts
1602,P10064,blo bzang chos 'phel,blo bzang chos 'phel,blo bzang chos 'phel,bo-x-ewts
1605,P10067,blo bzang rgyal mtshan,blo bzang rgyal mtshan,blo bzang rgyal mtshan,bo-x-ewts
1625,P10088,chos grags rgya mtsho,chos grags rgya mtsho,chos grags rgya mtsho,bo-x-ewts
1628,P10090,Machik Jobum,ma gcig jo 'bum,sprul sku jo 'bum,bo-x-ewts
1628,P10090,Machik Jobum,ma gcig jo 'bum,Tulku Jobum,en
1634,P10097,shAkya rgyal mtshan,shAkya rgyal mtshan,shAkya rgyal mtshan,bo-x-ewts
1635,P10098,byams pa bzang po,byams pa bzang po,byams pa bzang po,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,dga' ldan khri pa 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,rtses thang paN chen bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,gzims khang gong ma 01 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,Sonam Drakpa ,en
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,Zimkhang Gongma Sonam Drakpa ,en
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,dga' ldan khri chen 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,Tsetang Paṇchen Sonam Drakpa ,en
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,khri chen 15 bsod nams grags pa,bo-x-ewts
1637,P101,Paṇchen Sonam Drakpa,paN chen bsod nams grags pa,Trichen 15 Sonam Drakpa,en
1639,P10100,Namgyel Gonpo,rnam rgyal mgon po,Sechok Namgyel Gonpo,en
1639,P10100,Namgyel Gonpo,rnam rgyal mgon po,sras mchog rnam rgyal mgon po,bo-x-ewts
1640,P10101,bsod nams bzang po,bsod nams bzang po,bsod nams bzang po,bo-x-ewts
1641,P10102,chos kyi rgyal mtshan,chos kyi rgyal mtshan,chos kyi rgyal mtshan,bo-x-ewts
1643,P10104,kun dga' rgyal mtshan,kun dga' rgyal mtshan,kun dga' rgyal mtshan,bo-x-ewts
1648,P1011,bkra shis dpal,bkra shis dpal,bkra shis dpal,bo-x-ewts
1650,P10111,kun dga' nyi ma,kun dga' nyi ma,kun dga' nyi ma,bo-x-ewts
1654,P10115,rdo rje dpal,rdo rje dpal,rdo rje dpal,bo-x-ewts
1654,P10115,rdo rje dpal,rdo rje dpal,rdo rje dpal ba,bo-x-ewts
1658,P10119,nam mkha' grags pa,nam mkha' grags pa,nam mkha' grags pa,bo-x-ewts
1659,P1012,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,sangs rgyas mnyan pa 01 bkra shis dpal 'byor,bo-x-ewts
1659,P1012,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,grub thob sangs rgyas mnyan pa,bo-x-ewts
1659,P1012,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,Denma Drubtob,en
1659,P1012,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,dan ma grub thob,bo-x-ewts
1659,P1012,"The First Sanggye Nyenpa, Tashi Peljor",sangs rgyas mnyan pa 01 bkra shis dpal 'byor,Drubtob Sanggye Nyenpa,en
1662,P10122,dkon mchog bzang po,dkon mchog bzang po,dkon mchog bzang po,bo-x-ewts
1679,P1014,mi 'gyur rdo rje,mi 'gyur rdo rje,mi 'gyur rdo rje,bo-x-ewts
1709,P10168,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bo-x-ewts
1710,P10169,rdo rje grags,rdo rje grags,rdo rje grags,bo-x-ewts
1714,P10172,gnyan gtsug gtor rgyal po,gnyan gtsug gtor rgyal po,bsod nams rdo rje,bo-x-ewts
1719,P10177,Jomo Mangchungma,jo mo mang chung ma,mang chung ma,bo-x-ewts
1719,P10177,Jomo Mangchungma,jo mo mang chung ma,Mangchungma,en
1719,P10177,Jomo Mangchungma,jo mo mang chung ma,mang mkhar jo mo mang chung ma,bo-x-ewts
1719,P10177,Jomo Mangchungma,jo mo mang chung ma,Mangkhar Jomo Mangchungma,en
1720,P10178,Jocham Purmo,jo lcam phur mo,phur mo,bo-x-ewts
1720,P10178,Jocham Purmo,jo lcam phur mo,Machik Tsetsa,en
1720,P10178,Jocham Purmo,jo lcam phur mo,ma gcig btsad tsha,bo-x-ewts
1720,P10178,Jocham Purmo,jo lcam phur mo,Phurmo,en
1721,P10179,Yalung Jomo Auma,g.ya lung jo mo 'a 'u ma,a 'u ma,bo-x-ewts
1721,P10179,Yalung Jomo Auma,g.ya lung jo mo 'a 'u ma,jo mo 'a 'u ma,bo-x-ewts
1721,P10179,Yalung Jomo Auma,g.ya lung jo mo 'a 'u ma,Jomo Auma,en
1721,P10179,Yalung Jomo Auma,g.ya lung jo mo 'a 'u ma,Auma,en
1722,P1018,Langlab Jangchub Dorje,lang lab byang chub rdo rje,byang chub rdo rje,bo-x-ewts
1722,P1018,Langlab Jangchub Dorje,lang lab byang chub rdo rje,lang lab,bo-x-ewts
1722,P1018,Langlab Jangchub Dorje,lang lab byang chub rdo rje,Jangchub Dorje,en
1722,P1018,Langlab Jangchub Dorje,lang lab byang chub rdo rje,Langlab,en
1726,P10183,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,dar ma yon tan,bo-x-ewts
1726,P10183,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,lo tsA ba dar ma yon tan,bo-x-ewts
1726,P10183,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,Darma Yonten,en
1726,P10183,Sumpa Lotsāwa Darma Yonten,sum pa lo tsA ba dar ma yon tan,Lotsāwa Darma Yonten,en
1728,P10185,Pelchok Dangpo Dorje,dpal mchog dang po'i rdo rje,Sumpa Lotsāwa Pelchok Dangpo Dorje,en
1728,P10185,Pelchok Dangpo Dorje,dpal mchog dang po'i rdo rje,sum pa lo tsA ba dpal mchog dang po'i rdo rje,bo-x-ewts
1736,P10193,mon rtse pa kun dga' dpal ldan,mon rtse pa kun dga' dpal ldan,kun dga' dpal ldan,bo-x-ewts
1741,P10198,bkra shis 'bum,bkra shis 'bum,bkra shis 'bum,bo-x-ewts
1743,P1020,grags pa rgya mtsho,grags pa rgya mtsho,grags pa rgya mtsho,bo-x-ewts
1749,P10205,shes rab 'byung gnas,shes rab 'byung gnas,shes rab 'byung gnas,bo-x-ewts
1750,P10206,bstan 'dzin phun tshogs,bstan 'dzin phun tshogs,bstan 'dzin phun tshogs,bo-x-ewts
1751,P10207,ngag dbang grags pa,ngag dbang grags pa,ngag dbang grags pa,bo-x-ewts
1754,P1021,Trulzhik Sengge Gyabpa,khrul zhig seng+ge rgyab pa,seng+ge rgyab pa,bo-x-ewts
1754,P1021,Trulzhik Sengge Gyabpa,khrul zhig seng+ge rgyab pa,Sengge Gyappa,en
1755,P10210,don grub tshe ring,don grub tshe ring,don grub tshe ring,bo-x-ewts
1761,P10216,chos kyi rgyal mtshan,chos kyi rgyal mtshan,chos kyi rgyal mtshan,bo-x-ewts
1762,P10217,bstan pa rgyal mtshan,bstan pa rgyal mtshan,bstan pa rgyal mtshan,bo-x-ewts
1776,P1023,chos kyi shes rab,chos kyi shes rab,chos kyi shes rab,bo-x-ewts
1809,P1026,dkon mchog dpal,dkon mchog dpal,dkon mchog dpal,bo-x-ewts
1810,P10260,tshal min chos rje ngag dbang   bzang po,tshal min chos rje ngag dbang   bzang po,ngag dbang bzang po,bo-x-ewts
1812,P10262,ngag dbang rgya mtsho,ngag dbang rgya mtsho,ngag dbang rgya mtsho,bo-x-ewts
1814,P10264,pad+ma dbang rgyal,pad+ma dbang rgyal,pad+ma dbang rgyal,bo-x-ewts
1820,P1027,"The Eighth Ngor Khenchen, Muchen Sanggye Rinchen",ngor mkhan chen 08 mus chen sangs rgyas rin chen,sangs rgyas rin chen,bo-x-ewts
