tol_id,tbrc_id,primary_name,prefered_wylie,name_variant,lang_tag
6779,P435,Konchok Delek,dkon mchog bde legs,Gongmen Konchok Delek,en
6779,P435,Konchok Delek,dkon mchog bde legs,gong sman dkon mchog bde legs,bo-x-ewts
6780,P4350,nam mkha' dpal bzang,nam mkha' dpal bzang,nam mkha' dpal bzang,bo-x-ewts
6788,P4358,Jampa Tashi,byams pa bkra shis,Khyungdruk Jampa Tashi,en
6788,P4358,Jampa Tashi,byams pa bkra shis,khyung phrug byams pa bkra shis,bo-x-ewts
6788,P4358,Jampa Tashi,byams pa bkra shis,mkhas mchog byams pa bkra shis,bo-x-ewts
6788,P4358,Jampa Tashi,byams pa bkra shis,Khechok Jampa Tashi,en
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,Jedrung Lhawang Chokyi Gyeltsen,en
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,rje drung lha dbang chos kyi rgyal mtshan,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,chos skyong mgon po,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,dpa' bo rdo rje,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,chab mdo khri rabs 12 lha dbang chos kyi   rgyal mtshan,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,rta tshag 04 lha dbang chos kyi rgyal mtshan,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,ba so lha dbang chos kyi rgyal mtshan,bo-x-ewts
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,Baso Lhawang Chokyi Gyeltsen,en
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,Chamdo Trirab 12 Lhawang Chokyi Gyeltsen ,en
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,Chokyong Gonpo,en
6793,P4362,"The Fourth Tatsak Jedrung, Lhawang Chokyi Gyeltsen",rta tshag rje drung 04 lha dbang chos kyi rgyal mtshan,Pawo Dorje,en
6794,P4363,kun dga' bzang po,kun dga' bzang po,kun dga' bzang po,bo-x-ewts
6795,P4364,bstan pa'i rgyal mtshan,bstan pa'i rgyal mtshan,bstan pa'i rgyal mtshan,bo-x-ewts
6797,P4366,blo bzang sbyin pa,blo bzang sbyin pa,blo bzang sbyin pa,bo-x-ewts
6801,P437,Konchok Pendar,dkon mchog phan dar,Gongmen Konchok Pendar,en
6801,P437,Konchok Pendar,dkon mchog phan dar,gong sman dkon mchog phan dar,bo-x-ewts
6803,P4371,bsam 'grub bstan 'dzin,bsam 'grub bstan 'dzin,mkhan po,bo-x-ewts
6805,P4373,blo bzang snyan grags,blo bzang snyan grags,blo bzang snyan grags,bo-x-ewts
6807,P4375,rdo rje dbang phyug,rdo rje dbang phyug,rdo rje dbang phyug,bo-x-ewts
6811,P4379,blo bzang sbyin pa,blo bzang sbyin pa,blo bzang sbyin pa,bo-x-ewts
6814,P4381,dkon mchog skyabs,dkon mchog skyabs,dkon mchog skyabs,bo-x-ewts
6816,P4383,bkra shis dpal ldan,bkra shis dpal ldan,bkra shis dpal ldan,bo-x-ewts
6817,P4384,blo bzang chos 'phel,blo bzang chos 'phel,blo bzang chos 'phel,bo-x-ewts
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,zam tsha 04 'jigs med bsam grub rgya mtsho,bo-x-ewts
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,mgon po skyabs,bo-x-ewts
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,bla brang khri 53 'jigs med bsam grub rgya mtsho,bo-x-ewts
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,Labrang Tri 53 Jigme Samdrub Gyatso,en
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,Gonpo Kyab ,en
6818,P4385,"The Fourth Zamtsa Sertri, Jigme Samdrub Gyatso",zam tsha gser khri 04 'jigs med bsam grub rgya mtsho,Zamtsa 04 Jigme Samdrub Gyatso,en
6828,P4394,ngag dbang blo bzang,ngag dbang blo bzang,ngag dbang blo bzang,bo-x-ewts
6829,P4396,grags pa seng+ge,grags pa seng+ge,grags pa seng+ge,bo-x-ewts
6831,P4398,blo bzang bstan pa'i nyi ma,blo bzang bstan pa'i nyi ma,blo bzang bstan pa'i nyi ma,bo-x-ewts
6838,P4403,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bsod nams rgyal mtshan,bo-x-ewts
6839,P4404,kun dga' rgyal mtshan,kun dga' rgyal mtshan,kun dga' rgyal mtshan,bo-x-ewts
6843,P4408,rin chen rdo rje,rin chen rdo rje,rin chen rdo rje,bo-x-ewts
6844,P4409,ye shes rgya mtsho,ye shes rgya mtsho,ye shes rgya mtsho,bo-x-ewts
6848,P4412,ye shes rgya mtsho,ye shes rgya mtsho,ye shes rgya mtsho,bo-x-ewts
6850,P4414,tshe ring don grub,tshe ring don grub,tshe ring don grub,bo-x-ewts
6853,P4417,gzhon nu 'od,gzhon nu 'od,gzhon nu 'od,bo-x-ewts
6854,P4418,gzhon nu tshul khrims,gzhon nu tshul khrims,gzhon nu tshul khrims,bo-x-ewts
6855,P4419,gzhon nu rdo rje,gzhon nu rdo rje,gzhon nu rdo rje,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,gtsang smyon he ru ka rus pa'i rgyan can,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,rus pa'i rgyan can,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,sangs rgyas rgyal mtshan,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,mi bskyod rdo rje,bo-x-ewts
6856,P442,Tsangnyon Heruka,gtsang smyon he ru ka,khrag 'thung rgyal po,bo-x-ewts
