person_id,name_variant_text,language_encoding_tag_id,language_encoding_tag_id
2104,mang mkhar lo tsA ba mchog ldan legs pa'i blo gros,bo-x-ewts,1
2104,lo mchog mchog ldan legs pa'i blo gros,bo-x-ewts,1
2104,mchog ldan legs pa'i blo gros dpungs rgyan mdzes pa'i me tog,bo-x-ewts,1
2104,gzhon nu 'od,bo-x-ewts,1
2104,Lekpai Lodro,en,2
2104,mang mkhar lo tsA ba gzhon nu 'od,bo-x-ewts,1
2104,Zhonnu O,en,2
2104,Lochok Chokden Lekpai Lodro,en,2
2104,Mangkar Lotsāwa Zhonnu O,en,2
2104,Mangkar Lotsāwa Chokden Lekpai Lodro,en,2
2104,Chokden Lekpai Lodro Punggyan Dzepai Metok,en,2
2118,phyag tsha 01 kun bzang nges don dbang po,bo-x-ewts,1
2118,kaH thog pa kun bzang nges don dbang po,bo-x-ewts,1
2118,Katokpa Kunzang Ngedon Wangpo,en,2
2118,Chaktsa 01 Kunzang Ngedon Wangpo,en,2
2137,kun dga' rgyal mtshan,bo-x-ewts,1
2137,sa skya paN+Di ta,bo-x-ewts,1
2137,Kunga Gyeltsen,en,2
2137,Sakya Paṇḍita,en,2
2137,Sakya Pandita,en,2
2162,mtshur phu rgyal tshab 02 bkra shis rnam rgyal,bo-x-ewts,1
2180,paN chen 05 blo bzang ye shes,bo-x-ewts,1
2180,Lobzang Yeshe Pelzangpo ,en,2
2180,blo bzang ye shes dpal bzang po,bo-x-ewts,1
2180,Paṇchen 05 Lobzang Yeshe,en,2
2181,nam mkha' grags pa,bo-x-ewts,1
2181,snar thang mkhan chen 07 nam mkha' grags pa,bo-x-ewts,1
2181,Namkha Drakpa,en,2
2203,dkon mchog dpal,bo-x-ewts,1
2203,Konchok Pel,en,2
2203,sa skya'i bstan 'dzin zhang ston dkon mchog dpal  ,bo-x-ewts,1
2203,zhang rgyal ba dpal,bo-x-ewts,1
2203,gung thang gi btsun pa zhang rgyal ba dpal,bo-x-ewts,1
2203,Sakya Tendzin Zhangton Konchok Pel,en,2
2203,Gungtang Tsunpa Zhangton Gyelwa Pel,en,2
2203,Zhang Gyelwa Pel,en,2
2232,dpa' bo gter ston,bo-x-ewts,1
2232,gter chen kun skyong gling pa,bo-x-ewts,1
2232,Terchen Kunkyong Lingpa ,en,2
2232,gter ston o rgyan kun skyong gling pa,bo-x-ewts,1
2232,Terchen Orgyen Kunkyong Lingpa ,en,2
2232,Pawo Terton ,en,2
2235,zam tsha 06 skal bzang lung rigs rgya mtsho,bo-x-ewts,1
2235,Zamtsa 06 Kelzang Lungrik Gyatso,en,2
2237,zam tsha 05 skal bzang 'jigs med nam mkha',bo-x-ewts,1
2237,Zamtsa 05 Kelzang Jigme Namkha,en,2
2238,zam tsha 03 blo bzang 'jigs med rgya mtsho,bo-x-ewts,1
2238,blo bzang 'phrin las rgya mtsho,bo-x-ewts,1
2238,Lobzang Jigme Gyatso,en,2
2238,Zamtsa Sertri 03 Lobzang Jigme Gyatso,en,2
2280,Tishri 04 Yeshe Rinchen,en,2
2280,shar pa ye shes rin chen,bo-x-ewts,1
2280,dus 'khor ba ye shes rin chen,bo-x-ewts,1
2280,ti shrI 04 ye shes rin chen,bo-x-ewts,1
2280,Dukorwa Yeshe Rinchen,en,2
2280,Sharpa Yeshe Rinchen,en,2
2314,Lobpon Rinchen Gyeltsen,en,2
2314,slob dpon rin chen rgyal mtshan,bo-x-ewts,1
2314,sa skya khri 'dzin 07 rin chen rgyal mtshan,bo-x-ewts,1
2314,Sakya Trizin 07 Rinchen Gyeltsen,en,2
2327,dga' ldan khri pa 42 blo bzang don yod,bo-x-ewts,1
2327,rnam dag rdo rje,bo-x-ewts,1
2327,khri 42 rnam dag rdo rje,bo-x-ewts,1
2327,blo bzang dar,bo-x-ewts,1
2327,Ganden Tripa 42 Lobzang Donyo,en,2
2327,Ganden Trichen 42 Lobzang Donyo,en,2
2327,Lobzang Dar,en,2
2327,dga' ldan khri chen 42 blo bzang don yod,bo-x-ewts,1
2327,Namdak Dorje,en,2
2327,Penpo Lobzang Donyo ,en,2
2327,phen po blo bzang don yod,bo-x-ewts,1
2327,Tri 42 Namdak Dorje,en,2
2328,phags pa lha rnam par rgyal ba rgya mtsho'i sde,bo-x-ewts,1
