"TOL ID","TBRC RID","Primary title","Primary name","Wylie title","Wylie name","Birth year","Birth year approximate","Birth year alternate","Death year","Death year approximate","Death year alternate",Gender,"HAR URL","Death century","Historical period","Name displayed as","Name Variants","Birth century",Ordinal,"Wikidata ID"
1728,P10185,,"Pelchok Dangpo Dorje",,"dpal mchog dang po'i rdo rje",,0,,,0,,M,,,,"Phonetic: Pelchok Dangpo Dorje Wylie: dpal mchog dang po'i rdo rje","sum pa lo tsA ba dpal mchog dang po'i rdo rje,bo-x-ewts;Sumpa Lotsāwa Pelchok Dangpo Dorje,en","11th century",,
1754,P1021,,"Trulzhik Sengge Gyabpa",,"'khrul zhig seng+ge rgyab pa",,0,,,0,,M,,,,"Phonetic: Trulzhik Sengge Gyabpa Wylie: 'khrul zhig seng+ge rgyab pa","seng+ge rgyab pa,bo-x-ewts;Sengge Gyappa,en","13th century (early)",,
1820,P1027,"Ngor Khenchen","Muchen Sanggye Rinchen","ngor mkhan chen","mus chen sangs rgyas rin chen",1450,0,,1524,0,,M,,,,"Phonetic: The Eighth Ngor Khenchen, Muchen Sanggye Rinchen Wylie: ngor mkhan chen 08 mus chen sangs rgyas rin chen","Ngor Khenchen 08 Sanggye Rinchen,en;ngor mkhan chen 08 sangs rgyas rin chen,bo-x-ewts;Sanggye Rinchen,en;sangs rgyas rin chen,bo-x-ewts",,08,
1831,P1028,,"Ga Rabjampa Kunga Yeshe",,"sga rab 'byams pa kun dga' ye shes",1397,0,,1470,0,,M,,,,"Phonetic: Ga Rabjampa Kunga Yeshe Wylie: sga rab 'byams pa kun dga' ye shes","kun dga' ye shes,bo-x-ewts;Kunga Yeshe,en;Tarlam Rabjampa Kunga Yeshe,en;thar lam rab 'byams pa kun dga' ye shes,bo-x-ewts",,,
1852,P10299,Kirti,"Gendun Gyeltsen",kirti,"dge 'dun rgyal mtshan",1374,0,,1450,0,,M,,,,"Phonetic: The First Kirti, Gendun Gyeltsen Wylie: kirti 01 dge 'dun rgyal mtshan","Jaknakpa Gendun Gyeltsen,en;ljags nag pa dge 'dun rgyal mtshan,bo-x-ewts;rong ba ljags nag pa dge 'dun rgyal mtshan,bo-x-ewts;rong chen dge 'dun rgyal mtshan,bo-x-ewts;Rongchen Gendun Gyeltsen,en;Rongwa Jaknakpa Gendun Gyeltsen,en",,01,
1869,P10313,,"Lodro Namgyel",,"blo gros rnam rgyal",1618,0,,1683,0,,M,,,,"Phonetic: Lodro Namgyel Wylie: blo gros rnam rgyal","blo bzang rnam rgyal,bo-x-ewts;Khedrub Lodro Namgyel,en;Lobzang Namgyel,en;mkhas grub blo gros rnam rgyal,bo-x-ewts",,,
1871,P10315,,"Samlo Sanggye Tashi",,"bsam blo sangs rgyas bkra shis",,0,,1413,0,,M,,,,"Phonetic: Samlo Sanggye Tashi Wylie: bsam blo sangs rgyas bkra shis","bsam blo bla ma,bo-x-ewts;Drubchen Langkarwa ,en;glang dkar ba sangs rgyas bkra shis,bo-x-ewts;grub chen glang skar ba,bo-x-ewts;Langkarwa Sanggye Tashi,en;mtsho snying ba bla ma,bo-x-ewts;Samlo Lama ,en;Sanggye Tashi,en;sangs rgyas bkra shis,bo-x-ewts;Tsonyingwa Lama ,en",,,
1898,P1034,,"Muchen Sempa Chenpo Konchok Gyeltsen",,"mus chen sems dpa' chen po dkon mchog rgyal mtshan",1388,0,,1469,0,,M,,,,"Phonetic: Muchen Sempa Chenpo Konchok Gyeltsen Wylie: mus chen sems dpa' chen po dkon mchog rgyal mtshan","dkon mchog dar,bo-x-ewts;dkon mchog rgyal mtshan,bo-x-ewts;Konchok Dar,en;Konchok Gyeltsen,en;Muchen Konchok Gyeltsen,en;mus chen dkon mchog rgyal mtshan,bo-x-ewts;Ngor Khenchen 02 Kongchok Gyeltsen,en;ngor mkhan chen 02 dkon mchog rgyal mtshan,bo-x-ewts;Sempa Chenpo Konchok Gyeltsen,en;sems dpa' chen po dkon mchog rgyal mtshan,bo-x-ewts",,,
1901,P10342,Kirti,"Kunga Chopak Tubten Nyima",kirti,"kun dga' chos 'phags thub bstan nyi ma",1797,0,,1848,0,,M,,,,"Phonetic: The Seventh Kirti, Kunga Chopak Tubten Nyima Wylie: kirti 07 kun dga' chos 'phags thub bstan nyi ma","kir+ti 07 kun dga' chos 'phags thub bstan nyi ma,bo-x-ewts",,07,
1902,P10343,Kirti,"Kelzang Lodro Kunga Lungtok Gyatso",kirti,"bskal bzang blo gros kun dga' lung rtogs rgya mtsho",1905,0,,1920,0,,M,,,,"Phonetic: The Ninth Kirti, Kelzang Lodro Kunga Lungtok Gyatso Wylie: kirti 09 bskal bzang blo gros kun dga' lung rtogs rgya mtsho","bskal bzang blo gros kun dga'   lung rtogs rgya mtsho,bo-x-ewts;kir+ti 09 bskal bzang blo gros   kun dga' lung rtogs rgya mtsho,bo-x-ewts",,09,
1903,P10344,Kirti,"Gendun Chokyi Wangchuk",kirti,"dge 'dun chos kyi dbang phyug",1773,0,,1796,0,,M,,,,"Phonetic: The Sixth Kirti, Gendun Chokyi Wangchuk Wylie: kirti 06 dge 'dun chos kyi dbang phyug","kir+ti 06 dge 'dun chos kyi dbang phyug,bo-x-ewts",,06,
1908,P1035,,"Drakpa Dorje",,"grags pa rdo rje",,0,,1491,1,,M,,,,"Phonetic: Drakpa Dorje Wylie: grags pa rdo rje","mi nyag paN+Di ta grags pa rdo rje,bo-x-ewts;Minyak Paṇḍita Drakpa Dorje,en",,,
1930,P1037,"Ngor Khenchen","Pelden Dorje","ngor mkhan chen","dpal ldan rdo rje",1411,0,,1482,0,,M,,,,"Phonetic: The Fifth Ngor Khenchen, Pelden Dorje Wylie: ngor mkhan chen 05 dpal ldan rdo rje","Dorje Saten,en;Khedrub Pelden Dorje,en;mkhas grub dpal ldan rdo rje,bo-x-ewts;rdor rje sa brtan,bo-x-ewts",,05,
1963,P1040,"Ngor Khenchen","Kunga Wangchuk","ngor mkhan chen","kun dga' dbang phyug",1424,0,,1478,0,,M,,,,"Phonetic: The Fourth Ngor Khenchen, Kunga Wangchuk Wylie: ngor mkhan chen 04 kun dga' dbang phyug","Gyeltsab Dampa Kunga Wangchuk,en;Ngor Khenchen 04 Kunga Wangchuk,en;ngor mkhan chen 04 kun dga' dbang phyug,bo-x-ewts;rgyal tshab dam pa kun dga' dbang phyug,bo-x-ewts",,04,
1974,P1041,,"Kunga Wangchuk",,"kun dga' dbang phyug",1418,0,,1462,0,,M,,,,"Phonetic: Kunga Wangchuk Wylie: kun dga' dbang phyug","sa skya bzhi thog 04 kun dga' dbang phyug,bo-x-ewts;sa skya pa slob dpon chen po kun dga' dbang phyug,bo-x-ewts;Sakya Lobpon Chenpo Kunga Wangchuk,en",,,
1981,P10416,,"Kyabdak Drubchok Wangpo",,"khyab bdag grub mchog dbang po",1575,1,,1618,1,,M,,,,"Phonetic: Kyabdak Drubchok Wangpo Wylie: khyab bdag grub mchog dbang po","Drubchok Wangpo,en;grub mchog dbang po,bo-x-ewts",,,
1985,P1042,,"Gorampa Sonam Sengge",,"go rams pa bsod nams seng ge",1429,0,,1489,0,,M,,,,"Phonetic: Gorampa Sonam Sengge Wylie: go rams pa bsod nams seng ge","bsod nams seng ge,bo-x-ewts;go bo rab 'byams pa bsod nams seng ge,bo-x-ewts;Gowo Rabjampa Sonam Sengge,bo-x-ewts;Ngor Khenchen 06 Sonam Sengge,en;ngor mkhan chen 06 bsod nams seng ge,bo-x-ewts;Sonam Sengge,en",,,
2029,P1046,,"Shongton Dorje Gyeltsen",,"shong ston rdo rje rgyal mtshan",,0,,,0,,M,,,,"Phonetic: Shongton Dorje Gyeltsen Wylie: shong ston rdo rje rgyal mtshan","Dorje Gyeltsen,en;rdo rje rgyal mtshan,bo-x-ewts;shong lo tsA ba rdo rje rgyal mtshan,bo-x-ewts;Shong Lotsāwa Dorje Gyeltsen,en;Shongton Lotsāwa Dorje Gyeltsen,en","13th century (early)",,
2051,P1048,,"Pakpa Lodro Gyeltsen",,"'phags pa blo gros rgyal mtshan",1235,0,,1280,0,,M,http://www.himalayanart.org/search/set.cfm?setID=574,,,"Phonetic: Pakpa Lodro Gyeltsen Wylie: 'phags pa blo gros rgyal mtshan","'gro mgon 'phags pa blo gros rgyal mtshan,bo-x-ewts;'phags pa lug skyes,bo-x-ewts;blo gros rgyal mtshan,bo-x-ewts;Chogyel Pakpa Lodro Gyeltsen,en;chos rgyal 'phags pa blo gros rgyal mtshan,bo-x-ewts;Drogon Pakpa Lodro Gyeltsen,en;Lodro Gyeltsen,en;Pakpa Lukye,en",,,
2069,P10497,,"Rinchen Dorje",,"rin chen rdo rje",,0,,1959,0,,M,,,,"Phonetic: Rinchen Dorje Wylie: rin chen rdo rje","khang dmar rin chen rdo rje,bo-x-ewts;Khangmar Rinchen Dorje,en",,,
2104,P1053,,"Lotsāwa Chokden Lekpai Lodro",,"mchog ldan legs pa'i blo gros",,0,,,0,,M,,,,"Phonetic: Lotsāwa Chokden Lekpai Lodro Wylie: mchog ldan legs pa'i blo gros","Chokden Lekpai Lodro Punggyan Dzepai Metok,en;gzhon nu 'od,bo-x-ewts;legs pa'i blo gros,bo-x-ewts;Lekpai Lodro,en;lo mchog mchog ldan legs pa'i blo gros,bo-x-ewts;Lochok Chokden Lekpai Lodro,en;mang mkhar lo tsA ba gzhon nu 'od,bo-x-ewts;mang mkhar lo tsA ba mchog ldan legs pa'i blo gros,bo-x-ewts;Mangkar Lotsāwa Chokden Lekpai Lodro,en;Mangkar Lotsāwa Zhonnu O,en;mchog ldan legs pa'i blo gros dpungs rgyan mdzes pa'i me tog,bo-x-ewts;Zhonnu O,en","13th century (early)",,
