TOL ID,TBRC RID,Primary name,Primary name encoding,Wylie name,Tibetan,Title,Wylie title,Birth year,Birth year approximate,Birth year alternate,Birth century,Death year,Death year approximate,Death year alternate,Death century,Gender,Ordinal,Wikidata ID
2069,P10497,Rinchen Dorje,en,rin chen rdo rje,རིན་ཆེན་རྡོ་རྗེ།,,,,0,,,1959,0,,,M,,
2104,P1053,Lotsāwa Chokden Lekpai Lodro,en,mchog ldan legs pa'i blo gros,མཆོག་ལྡན་ལེགས་པའི་བློ་གྲོས།,,,,0,,50,,0,,52,M,,
2118,P5987,Kunzang Ngedon Wangpo,en,kun bzang nges don dbang po,ཀུན་བཟང་ངེས་དོན་དབང་པོ།,Chaktsa Tulku,phyag tsha sprul sku,,0,,71,1816,0,,,M,1,
2137,P1056,Sakya Paṇḍita Kunga Gyeltsen,en,sa skya paN+Dita kun dga' rgyal mtshan,ས་སྐྱ་པཎྜིཏ་ཀུན་དགའ་རྒྱལ་མཚན།,,,1182,0,,,1251,0,,,M,,
2162,P10582,Tashi Namgyel,en,bkra shis rnam rgyal,བཀྲ་ཤིས་རྣམ་རྒྱལ།,Tsurpu Gyeltsab,mtshur phu rgyal tshab,1490,0,,,1518,0,,,M,2,
2180,P106,Lobzang Yeshe,en,blo bzang ye shes,བློ་བཟང་ཡེ་ཤེས།,Paṇchen Lama,paN chen bla ma,1663,0,,,1737,0,,,M,5,
2181,P1060,Chim Namkha Drak,en,mchims nam mkha' grags pa,མཆིམས་ནམ་མཁའ་གྲགས་པ།,,,1210,0,,,1285,0,1289,,M,,
2203,P1062,Zhangton Konchok Pel,en,zhang ston dkon mchog dpal,ཞང་སྟོན་དཀོན་མཆོག་དཔལ།,,,,0,,51,1317,0,,,M,,
2232,P10646,Kunkyong Lingpa,en,kun skyong gling pa,ཀུན་སྐྱོང་གླིང་པ།,,,1396,0,1408,,1477,0,1489,,M,,
2235,P10649,Kelzang Lungrik Gyatso,en,skal bzang lung rigs rgya mtsho,སྐལ་བཟང་ལུང་རིགས་རྒྱ་མཚོ།,Zamtsa Sertri,zam tsha gser khri,1901,0,,,1954,0,,,M,6,
2237,P10650,Kelzang Jigme Namkha,en,skal bzang 'jigs med nam mkha',སྐལ་བཟང་འཇིགས་མེད་ནམ་མཁའ།,Zamtsa Sertri,zam tsha gser khri,1875,0,,,1899,0,,,M,5,
2238,P10651,Lobzang Trinle Gyatso,en,blo bzang 'jigs med rgya mtsho,བློ་བཟང་འཇིགས་མེད་རྒྱ་མཚོ།,Zamtsa Sertri,zam tsha gser khri,1822,0,,,1832,0,,,M,3,
2280,P1069,Yeshe Rinchen,en,ye shes rin chen,ཡེ་ཤེས་རིན་ཆེན།,,,1248,0,,,1294,0,,,M,,
2314,P1072,Rinchen Gyeltsen,en,rin chen rgyal mtshan,རིན་ཆེན་རྒྱལ་མཚན།,,,1238,0,,,1279,0,,,M,,
2327,P1078,Lobzang Donyo,en,blo bzang don yod,བློ་བཟང་དོན་ཡོད།,Ganden Tripa,dga' ldan khri pa,1602,0,,,1678,0,,,M,42,
2328,P1079,Chokyi Gyelpo,en,chos kyi rgyal po,ཆོས་ཀྱི་རྒྱལ་པོ།,Pakpa Lha,phags pa lha,1605,0,,,1643,0,,,M,4,
2329,P108,Ngawang Jampa,en,ngag dbang byams pa,ངག་དབང་བྱམས་པ།,Purchok,phur lcog,1682,0,,,1762,0,,,M,1,
2330,P1080,Ngawang Chokyi Wangchuk,en,ngag dbang chos kyi dbang phyug,ངག་དབང་ཆོས་ཀྱི་དབང་ཕྱུག།,Tatsak Jedrung,rta tshag rje drung,1606,0,,,1652,0,,,M,5,
2336,P1AG72,Kunga Puntsok,en,kun dga' phun tshogs,ཀུན་དགའ་རྒྱ་མཚོ།,,,,0,,65,,0,,,M,,
2338,P1089,Nesar Jamyang Khyentse Wangchuk,en,gnas gsar 'jam dbyangs mkhyen brtse'i dbang phyug,གནས་གསར་མཁྱེན་བརྩེའི་དབང་ཕྱུག།,,,1524,0,,,1568,0,,,M,,
2339,P109,Jampel Gyatso,en,jam dpal rgya mtsho,འཇམ་དཔལ་རྒྱ་མཚོ།,Dalai Lama,ta la'i bla ma,1758,0,,,1804,0,,,M,8,
2340,P1090,Labsum Gyeltsen,en,bslab gsum rgyal mtshan,བསླབ་གསུམ་རྒྱལ་མཚན།,,,1526,0,,,1577,0,,,M,,
2387,P1132,Ngorchen Kunga Zangpo,en,ngor chen kun dga' bzang po,ངོར་ཆེན་ཀུན་དགའ་བཟང་པོ།,,,1382,0,,,1456,0,,,M,,
2392,P1137,Lobzang Dorje,en,blo bzang rdo rje,བློ་བཟང་རྡོ་རྗེ།,Taktser,stag mtsher,,0,,68,,0,,70,M,1,
2393,P1138,Lobzang Tsultrim Jigme Gyatso,en,blo bzang tshul khrims 'jigs med rgya mtsho,བློ་བཟང་ཚུལ་ཁྲིམས་འཇིགས་མེད་རྒྱ་མཚོ།,Taktser,stag mtsher,1856,0,,,1920,1,,,M,5,
2399,P1143,Yeshe Kelzang,en,ye shes skal bzang,ཡེ་ཤེས་སྐལ་བཟང།,Taktser,stag mtsher,1705,0,,,,0,,,M,2,
2409,P1152,Namkha Sengge,en,nam mkha' seng+ge,ནམ་མཁའ་སེངྒེ།,Ngago,rnga rgod,1712,0,,,1780,0,,,M,3,
2418,P1160,Ngawang Lobzang,en,ngag dbang blo bzang,ཚ་སྤྲུལ་ངག་དབང་བློ་བཟང།,Tsatrul Rinpoche,tsha sprul rin po che,1880,0,,,1957,0,,,M,,
2419,P1161,Dungkar Lobzang Trinle,en,dung dkar blo bzang 'phrin las,དུང་དཀར་བློ་བཟང་འཕྲིན་ལས།,Dungkar,dung dkar,1927,0,,,1997,0,,,M,8,
2423,P1165,Surkhang Wangchen Gelek,en,zur khang dbang chen bde legs,ཟུར་ཁང་དབང་ཆེན་བདེ་ལེགས།,,,1910,0,,,1977,0,,,M,,
2424,P1166,Horkhang Sonam Pelbar,en,hor khang bsod nams dpal 'bar,ཧོར་ཁང་བསོད་ནམས་དཔལ་འབར།,,,1919,0,,,1994,0,,,M,,
2427,P1169,Pelden Gyeltsen,en,dpal ldan rgyal mtshan,དཔལ་ལྡན་རྒྱལ་མཚན།,,,1535,0,,,,0,,64,M,,
2434,P1175,Yonten Gyatso,en,yon tan rgya mtsho,ཡོན་ཏན་རྒྱ་མཚོ།,,,1516,0,,,1551,0,,,M,,
2436,P1177,Lobzang Dondrub,en,blo bzang don grub,བློ་བཟང་དོན་གྲུབ།,Detri,sde khri,1673,0,,,1746,0,,,M,1,
