person_id,tbrc_rid,default_name,tradition_id,tradition_name
8596,P6022,Gyurme Kelzang Tobgyel Dorje,1,Nyingma
8600,P6026,Jigme Dorje,1,Nyingma
8603,P6029,Zhenpen Dorje,1,Nyingma
8609,P6034,Jikdrel Tutob Dorje,1,Nyingma
8610,P6035,Jikdrel Chokyi Langpo,1,Nyingma
8616,P6040,Jangchub Dorje,1,Nyingma
8617,P6041,Sonam Dorje,1,Nyingma
8618,P6042,Kunzang Pema Trinle,1,Nyingma
8624,P6048,Tubten Gyeltsen Wozer,1,Nyingma
8625,P6049,Drime Wosel Lingpa,1,Nyingma
8629,P6052,Pema Trinle,1,Nyingma
8630,P6053,Pelden Dorje,1,Nyingma
8631,P6054,Chopa Lugu,1,Nyingma
8633,P6056,Hor Donyon Rinpoche,1,Nyingma
8650,P6071,Namtrul Jigme Puntsok,1,Nyingma
8651,P6072,Khandro Tāre Lhamo,1,Nyingma
8675,P6095,Nangdze Dorje,1,Nyingma
8750,P6164,Dorje Lingpa,1,Nyingma
8753,P6168,Jamyang Sherab Chokyi Nangwa,1,Nyingma
8754,P6169,Dongak Tendzin,1,Nyingma
8757,P6172,Dongak Chokyi Nyima,1,Nyingma
8782,P620,Shākya Shrī,1,Nyingma
8825,P625,Dilgo Khyentse Tashi Peljor,1,Nyingma
8857,P628,Melong Dorje,1,Nyingma
8868,P629,Jomo Menmo,1,Nyingma
8891,P631,Guru Jober,1,Nyingma
8892,P6310,Karma Gyurme Ngedon Tendzin,1,Nyingma
8912,P633,Nyima Bum,1,Nyingma
8923,P634,Zhangton Tashi Dorje,1,Nyingma
8964,P638,Sherab Wozer,1,Nyingma
8972,P6387,Lekshe Chokyi Drayang,1,Nyingma
8975,P639,Ngakgi Wangpo,1,Nyingma
8986,P64,Tsongkhapa Lobzang Drakpa,1,Nyingma
9047,P6455,Pema Kunzang Rangdrol,1,Nyingma
9052,P646,Tashi Tobgyel,1,Nyingma
9062,P647,Peljor Lhundrub,1,Nyingma
9083,P6489,Apang Terton,1,Nyingma
9105,P651,Dudul Dorje,1,Nyingma
9121,P6525,Nyak Jñānakumara,1,Nyingma
9126,P653,Pema Rigdzin,1,Nyingma
9141,P6543,Yeshe Yang,1,Nyingma
9158,P656,Garwang Dorje,1,Nyingma
9169,P657,Pema Trinle,1,Nyingma
9190,P659,Namcho Mingyur Dorje,1,Nyingma
9201,P66,Rangjung Dorje,1,Nyingma
9203,P6600,Yonten Gonpo,1,Nyingma
9213,P661,Tenpai Gyeltsen,1,Nyingma
9254,P665,Pelden Tashi,1,Nyingma
9297,P669,Pema Dechen Lingpa,1,Nyingma
9355,P6744,Pema Vajra,1,Nyingma
9361,P675,Lobzang Trinle,1,Nyingma
9372,P676,Rigdzin Tsewang Norbu,1,Nyingma
9383,P677,Gyurme Tekchok Tendzin,1,Nyingma
9394,P678,Mingyur Peldron,1,Nyingma
9513,P689,Kelzang Pema Wangchuk,1,Nyingma
9525,P690,Gyurme Kunzang Namgyel,1,Nyingma
9546,P692,Pema Tekchok Tenpai Gyeltsen,1,Nyingma
9572,P6943,Zangpo Drakpa,1,Nyingma
9574,P6945,Drime Kunga,1,Nyingma
9579,P695,Jigme Gyelwai Nyugu,1,Nyingma
9585,P6955,Pema Tekchok Loden,1,Nyingma
9588,P6958,Tubten Nyendrak,1,Nyingma
9589,P6959,Chime Yeshe,1,Nyingma
9590,P696,Changlung Pelchen Namkha Jigme,1,Nyingma
9593,P6962,Kunzang Pelden,1,Nyingma
9594,P6963,Kunga Pelden,1,Nyingma
9601,P697,Gyelse Zhenpen Taye Wozer,1,Nyingma
9612,P698,Do Khyentse Yeshe Dorje,1,Nyingma
9618,P6986,Lhalung Pelgyi Dorje,1,Nyingma
9622,P699,Khenpo Zhenga Zhenpen Chokyi Nangwa,1,Nyingma
9624,P6991,Denma Tsemang,1,Nyingma
9646,P701,Tubten Chokyi Dorje,1,Nyingma
9688,P705,Dudjom Lingpa,1,Nyingma
9884,P723,Pema Tekchok Tenpai Gyeltsen,1,Nyingma
9895,P724,Khenpo Ngawang Pelzang,1,Nyingma
9923,P7269,Namdrol Zangpo,1,Nyingma
9929,P7274,Khenpo Munsel,1,Nyingma
9935,P728,Tubten Chowang Nyamnyi Dorje,1,Nyingma
9945,P7289,Choying Khyabdel,1,Nyingma
9985,P5011,Vimalamitra,1,Nyingma
9990,P733,Jamyang Khyentse Chokyi Lodro,1,Nyingma
10018,P7359,Rigdzin Pelchen Dupa,1,Nyingma
10019,P736,Dudjom Rinpoche Jigdrel Yeshe Dorje,1,Nyingma
