Name,TOL ID,Family Type ID,Family Type Name,Wylie Name,Chinese,BDRC ID,Members
Kyitopa,TOL1328,689,Lhasa Aristocracy,skyid stod pa,,C16,
Lhagyari,TOL1076,689,Lhasa Aristocracy,lha rgya ri,,C12,11796; 12865; 13534; 13535; 13536; 13537; 13538; 13539; 13541; 13542; 13543; 13558; 13559; 13560; 13561; 13562; 13563; 13564
Marlampa,TOL1584,689,Lhasa Aristocracy,rmar lam pa,,,13724
Shatra,TOL1495,689,Lhasa Aristocracy,bshad sgra,,C42,9301
Surkhang,TOL1047,689,Lhasa Aristocracy,zur khang,,C38,2423; 11790; 11798
Tsarong,TOL1132,689,Lhasa Aristocracy,tsha rong,,C35,7929; 9305; 13583; 13625; 13708
Yabzhi Langdun,TOL930,689,Lhasa Aristocracy,yab gzhis glang mdun ,,C1,9287; 9289; 13722
Yabzhi Lhalu (earlier),TOL933,689,Lhasa Aristocracy,yab gzhis lha klu,,C6,13428
Yabzhi Lhalu (later),TOL940,689,Lhasa Aristocracy,yab gzhis lha klu,,C7,13427
Yabzhi Punkhang,TOL931,689,Lhasa Aristocracy,yab gzhi phun khang,,C2,13425
Yabzhi Sampo,TOL691,689,Lhasa Aristocracy,yab gzhis bsam pho ,,C5,13226
Yabzhi Yuthok,TOL932,689,Lhasa Aristocracy,yab gzhis g.yu thog,,C4,9333; 11798; 13426
Sadutshang,TOL1063,689,Lhasa Aristocracy,sa 'du tshang,,C1TD19,13545; 13546; 13548; 13549
Jangling,TOL1062,,,byang gling,,,
Pakmodrupa,TOL1202,,,phag mo gru pa,,,2539
Pangdatsang,TOL1061,,,spang mda' tshang,,,13519; 13520; 13521; 13522; 13523
Rinpungpa,TOL1203,,,rin spungs pa,,C2CN11008,
